Var1	Var2	value
2	Bla_2	Bla_1	1.83083971162178
3	Bla_3	Bla_1	0.228901547153065
4	Bla_4	Bla_1	1.27355714775724
5	Bla_5	Bla_1	0.606031319456525
6	Bla_6	Bla_1	0.443504724096751
7	CK_1	Bla_1	3.36482649501241
8	CK_2	Bla_1	3.32310026923691
9	CK_3	Bla_1	0.772315004408339
10	CK_4	Bla_1	3.4628203114363
11	CK_5	Bla_1	1.53319677831057
12	CK_6	Bla_1	4.58675496027416
13	Gre_1	Bla_1	3.4943013313125
14	Gre_2	Bla_1	2.67548232058906
15	Gre_3	Bla_1	1.7703262672352
16	Gre_4	Bla_1	2.22811126496399
17	Gre_5	Bla_1	3.27795513699959
18	Gre_6	Bla_1	1.92258204125056
19	Gre_7	Bla_1	7.13727108539553
20	Gre_8	Bla_1	3.09230956278349
21	Whi_1	Bla_1	0.668521367614529
22	Whi_2	Bla_1	1.22406870091213
23	Whi_3	Bla_1	0.763281329521682
24	Whi_4	Bla_1	2.66721262064368
25	Whi_5	Bla_1	3.1859424608306
26	Whi_6	Bla_1	7.23038414087432
27	Whi_7	Bla_1	2.98718905494678
30	Bla_3	Bla_2	-0.416424340115139
31	Bla_4	Bla_2	1.43319448903048
32	Bla_5	Bla_2	0.983619068185551
33	Bla_6	Bla_2	0.401490099065105
34	CK_1	Bla_2	3.85155547036317
35	CK_2	Bla_2	3.53555153354008
36	CK_3	Bla_2	1.31857158224623
37	CK_4	Bla_2	4.40230494645481
38	CK_5	Bla_2	0.580075575558673
39	CK_6	Bla_2	4.96529564643403
40	Gre_1	Bla_2	1.55967419120507
41	Gre_2	Bla_2	0.180109857955951
42	Gre_3	Bla_2	0.862849155673314
43	Gre_4	Bla_2	2.04759462108275
44	Gre_5	Bla_2	2.30923707214712
45	Gre_6	Bla_2	1.38678422835902
46	Gre_7	Bla_2	3.4670957196711
47	Gre_8	Bla_2	4.12546072141632
48	Whi_1	Bla_2	0.246114198188376
49	Whi_2	Bla_2	1.71570961168122
50	Whi_3	Bla_2	1.20839633923376
51	Whi_4	Bla_2	1.73022092635692
52	Whi_5	Bla_2	3.21155213986612
53	Whi_6	Bla_2	6.80211273635288
54	Whi_7	Bla_2	2.38675060360976
58	Bla_4	Bla_3	-0.163717627422644
59	Bla_5	Bla_3	-0.10733631361649
60	Bla_6	Bla_3	-0.375496436684707
61	CK_1	Bla_3	2.81632099167634
62	CK_2	Bla_3	3.22013911902411
63	CK_3	Bla_3	0.603380637800919
64	CK_4	Bla_3	3.09739999063105
65	CK_5	Bla_3	0.726132340699917
66	CK_6	Bla_3	3.63023618199454
67	Gre_1	Bla_3	2.78802732129194
68	Gre_2	Bla_3	0.897514089154738
69	Gre_3	Bla_3	1.70966873588509
70	Gre_4	Bla_3	1.45087952851272
71	Gre_5	Bla_3	2.48315178659166
72	Gre_6	Bla_3	0.933621897789624
73	Gre_7	Bla_3	4.78466901249135
74	Gre_8	Bla_3	2.24006231353493
75	Whi_1	Bla_3	0.190209450470892
76	Whi_2	Bla_3	1.07582850110286
77	Whi_3	Bla_3	1.97257569767082
78	Whi_4	Bla_3	1.90227411215551
79	Whi_5	Bla_3	2.38229840994538
80	Whi_6	Bla_3	6.46183271810818
81	Whi_7	Bla_3	1.67566211582651
86	Bla_5	Bla_4	-0.874157249386543
87	Bla_6	Bla_4	0.293062801101852
88	CK_1	Bla_4	2.58907693527429
89	CK_2	Bla_4	2.57540830334095
90	CK_3	Bla_4	1.45906497859795
91	CK_4	Bla_4	2.24067568115926
92	CK_5	Bla_4	2.23971065313644
93	CK_6	Bla_4	3.05314634552024
94	Gre_1	Bla_4	2.72563935441901
95	Gre_2	Bla_4	3.66180166938913
96	Gre_3	Bla_4	0.213765296454524
97	Gre_4	Bla_4	1.0225543253757
98	Gre_5	Bla_4	1.54933396298729
99	Gre_6	Bla_4	2.05316130026044
100	Gre_7	Bla_4	1.47862343928869
101	Gre_8	Bla_4	1.01531408508816
102	Whi_1	Bla_4	0.628956181011172
103	Whi_2	Bla_4	0.879269713753156
104	Whi_3	Bla_4	2.53987511626847
105	Whi_4	Bla_4	0.75250756262561
106	Whi_5	Bla_4	1.50204733180822
107	Whi_6	Bla_4	4.45950160562684
108	Whi_7	Bla_4	0.652830886748872
114	Bla_6	Bla_5	-0.956376426857575
115	CK_1	Bla_5	0.272949117988781
116	CK_2	Bla_5	0.237301025436495
117	CK_3	Bla_5	-1.08626532364337
118	CK_4	Bla_5	0.27311353811997
119	CK_5	Bla_5	0.431446276260517
120	CK_6	Bla_5	0.676712091888278
121	Gre_1	Bla_5	0.228061891040259
122	Gre_2	Bla_5	0.150967903103861
123	Gre_3	Bla_5	0.287471266066565
124	Gre_4	Bla_5	0.440031659646761
125	Gre_5	Bla_5	0.880691831667193
126	Gre_6	Bla_5	0.888590963195105
127	Gre_7	Bla_5	1.35581951705934
128	Gre_8	Bla_5	0.616177263820785
129	Whi_1	Bla_5	-0.181928063562204
130	Whi_2	Bla_5	-0.342810955267695
131	Whi_3	Bla_5	-0.740307750498145
132	Whi_4	Bla_5	0.0277696658281786
133	Whi_5	Bla_5	2.24130523066824
134	Whi_6	Bla_5	3.67158419532537
135	Whi_7	Bla_5	-0.170841548417426
142	CK_1	Bla_6	3.65608324058579
143	CK_2	Bla_6	2.25764287428594
144	CK_3	Bla_6	0.984944612297543
145	CK_4	Bla_6	2.42169932220947
146	CK_5	Bla_6	0.947660060738854
147	CK_6	Bla_6	4.21567757466374
148	Gre_1	Bla_6	2.70588312337964
149	Gre_2	Bla_6	1.89940307573696
150	Gre_3	Bla_6	0.206639221945236
151	Gre_4	Bla_6	0.81786400390086
152	Gre_5	Bla_6	2.93739381334469
153	Gre_6	Bla_6	1.57134837174674
154	Gre_7	Bla_6	2.60191241875258
155	Gre_8	Bla_6	2.23401738635517
156	Whi_1	Bla_6	1.01071134183751
157	Whi_2	Bla_6	1.47235015265076
158	Whi_3	Bla_6	0.756220460578485
159	Whi_4	Bla_6	0.98356775477824
160	Whi_5	Bla_6	3.84182851074131
161	Whi_6	Bla_6	4.64432297966897
162	Whi_7	Bla_6	0.86467701951003
