Var1	Var2	value
2	Gre_2	Gre_1	2.36177277721465
3	Gre_3	Gre_1	2.88329380570721
4	Gre_4	Gre_1	1.35375008989445
5	Gre_5	Gre_1	1.55742899328974
6	Gre_6	Gre_1	1.43562814054758
7	Gre_7	Gre_1	1.43552281096955
8	Gre_8	Gre_1	7.0707956995806
11	Gre_3	Gre_2	0.608924055207012
12	Gre_4	Gre_2	0.138471643910175
13	Gre_5	Gre_2	0.0793754896185777
14	Gre_6	Gre_2	0.219741035519039
15	Gre_7	Gre_2	1.5150502940938
16	Gre_8	Gre_2	5.60082424630066
20	Gre_4	Gre_3	-0.261484398557438
21	Gre_5	Gre_3	0.701900419436936
22	Gre_6	Gre_3	-0.795885433631887
23	Gre_7	Gre_3	2.81538100342858
24	Gre_8	Gre_3	5.79810127113812
29	Gre_5	Gre_4	1.74838316018305
30	Gre_6	Gre_4	1.56757274898368
31	Gre_7	Gre_4	-0.22978805475128
32	Gre_8	Gre_4	0.488263930113113
38	Gre_6	Gre_5	-0.430206939009343
39	Gre_7	Gre_5	2.14704771289734
40	Gre_8	Gre_5	1.37592676366089
47	Gre_7	Gre_6	1.51380995309885
48	Gre_8	Gre_6	0.925715809715013
56	Gre_8	Gre_7	1.22068332601892
