Var1	Var2	value
2	Whi_2	Whi_1	-0.790595852264135
3	Whi_3	Whi_1	-0.0331985486147717
4	Whi_4	Whi_1	4.0961612959424
5	Whi_5	Whi_1	6.40105115683536
6	Whi_6	Whi_1	2.33406737154932
7	Whi_7	Whi_1	2.49937786655091
10	Whi_3	Whi_2	0.04081523955696
11	Whi_4	Whi_2	0.733496498156146
12	Whi_5	Whi_2	5.60444716334635
13	Whi_6	Whi_2	0.48840970500679
14	Whi_7	Whi_2	4.30158392301019
18	Whi_4	Whi_3	3.14008715331675
19	Whi_5	Whi_3	6.73376343892647
20	Whi_6	Whi_3	1.16141406277427
21	Whi_7	Whi_3	1.88806938755053
26	Whi_5	Whi_4	-0.262291304936668
27	Whi_6	Whi_4	-0.280562018550272
28	Whi_7	Whi_4	-0.635589836907812
34	Whi_6	Whi_5	-0.0544791216606793
35	Whi_7	Whi_5	0.459818251340763
42	Whi_7	Whi_6	-0.247711844669667
