Var1	Var2	value
2	Gre_2	Gre_1	-0.257019025228379
3	Gre_3	Gre_1	0.962445291563194
4	Gre_4	Gre_1	0.616057729346875
5	Gre_5	Gre_1	1.07245732869873
6	Gre_6	Gre_1	1.18853338247738
7	Gre_7	Gre_1	3.02714904404097
8	Gre_8	Gre_1	0.840741109352321
11	Gre_3	Gre_2	0.0598635080859326
12	Gre_4	Gre_2	-0.546690171183665
13	Gre_5	Gre_2	0.0252779166645614
14	Gre_6	Gre_2	0.12723701923303
15	Gre_7	Gre_2	2.39071698030481
16	Gre_8	Gre_2	3.06253641132877
20	Gre_4	Gre_3	0.660958543785922
21	Gre_5	Gre_3	3.85077195052413
22	Gre_6	Gre_3	1.71860846831275
23	Gre_7	Gre_3	2.60547377806972
24	Gre_8	Gre_3	1.32723066168047
29	Gre_5	Gre_4	-0.539949905002486
30	Gre_6	Gre_4	-0.900539359866592
31	Gre_7	Gre_4	0.928729949212571
32	Gre_8	Gre_4	0.566903792937229
38	Gre_6	Gre_5	8.54903427393724e-05
39	Gre_7	Gre_5	1.61411881440065
40	Gre_8	Gre_5	0.696381489784472
47	Gre_7	Gre_6	2.69107862106532
48	Gre_8	Gre_6	0.898348577175928
56	Gre_8	Gre_7	0.0425893634356737
