Gene	Black	CK	Green	White
NA	98.96481844	98.96858598	99.09505783	98.95350196
glnA	0.122572587	0.146683636	0.1099672	0.130053805
nmo	0.112675169	0.09850321	0.078972425	0.10588037
gs_K00266	0.104258821	0.099067018	0.080784195	0.099056212
gdh_K00261	0.052964897	0.061971219	0.092176117	0.089864478
gs_K00265	0.064349031	0.070646279	0.067619859	0.078259052
asnB	0.054750468	0.058245748	0.066948347	0.062066991
gdh_K15371	0.053875753	0.049583369	0.037916659	0.06522017
NR	0.034862313	0.040028082	0.040724118	0.042406774
nasA	0.031537962	0.035746414	0.035692788	0.042346477
glsA	0.051404292	0.034770394	0.019790804	0.030035047
nirB	0.033452172	0.031408355	0.027551484	0.039579837
nirA	0.036662549	0.03250809	0.024361008	0.033109424
ureC	0.028241474	0.029787283	0.024625571	0.030879963
narB	0.040461061	0.027166345	0.022238855	0.022550799
narC	0.020634566	0.022327471	0.015830425	0.022254741
nirK	0.019420116	0.021034082	0.014608057	0.017404752
gs_K00264	0.006004607	0.019077785	0.02281141	0.019718433
nirD	0.019990581	0.013026334	0.012057453	0.019027244
gdh_K00262	0.018077569	0.011744761	0.014380079	0.014424113
gs_K00284	0.020239399	0.017395251	0.003760682	0.00789861
nifH	0.015972405	0.011810337	0.005226416	0.010421141
nrfC	0.010981763	0.009227049	0.01326784	0.006831545
nifD	0.014397233	0.01456387	0.00503051	0.005146269
nirS	0.00426386	0.004163346	0.024528349	0.005909951
ureA	0.010249479	0.008263479	0.004349918	0.006777975
nasB	0.007845145	0.006008064	0.00344117	0.006645874
nosZ	0.006299896	0.00685472	0.004908366	0.005493189
ureB	0.006826939	0.005933314	0.003383961	0.005780309
napA	0.005863684	0.006689772	0.005471974	0.003038909
narH	0.00407624	0.004387754	0.003670299	0.004107749
narZ	0.004806879	0.003975879	0.00454861	0.002170877
ansB	0.004907334	0.002381558	0.003266245	0.003735321
norB	0.001414682	0.006145633	0.001708216	0.000852115
narY	0.001280912	0.002669749	0.00177361	0.00103776
nifK	0.001005933	0.003268983	0.000399811	0.000755374
narI	0.000813052	0.002079778	0.001088078	0.000819505
nxrA	0.000973637	0.00286694	0.000190857	9.44078E-05
hzsC	0.000537124	0.00078674	0.000787139	0.001484456
narG	0.000595939	0.001136661	0.001495089	0.000333335
norC	0.001587494	0.000810995	0.000393613	0.000579626
hcp	0.001256225	0.000781381	0.000309608	0.000970097
narJ	0.000890827	0.001289191	0.000547907	0.000147399
nxrB	0.000456769	0.001273729	0.000163977	9.11087E-06
gdh_K00260	0.000196531	0.001216466	0.000440028	3.83332E-05
amoC_A	8.98204E-05	0.000624894	0.000861854	5.1627E-05
nao	0.000743206	2.85625E-05	5.02708E-05	0.00024675
nrfA	2.08287E-05	0.000313888	0.00015255	0.000422744
nifW	0.000209078	0.000380031	0	6.08555E-05
nrfD	2.62334E-05	0.000177645	5.49181E-05	0.000284259
napC	3.53695E-05	0.000224218	0.000259738	2.20036E-05
amoA_A	8.63863E-06	0.000170026	0.00019234	8.06123E-06
narV	0.000113611	0.000180054	0	1.32522E-05
pmoB	0	7.83874E-06	1.73883E-05	0.000170775
napB	0	0	0.000144047	0
