Pathways	Gene_sub_families	Annotation_
Nitrification_	amoA_A_	Ammonia_monooxygenase_subunit_A_(archaea)_
Nitrification_	amoB_A_	Ammonia_monooxygenase_subunit_B_(archaea)_
Nitrification_	amoC_A_	Ammonia_monooxygenase_subunit_C_(archaea)_
Nitrification_	amoA_B_	Ammonia_monooxygenase_subunit_A_(bacteria)_
Nitrification_	amoB_B_	Ammonia_monooxygenase_subunit_B_(bacteria)_
Nitrification_	amoC_B_	Ammonia_monooxygenase_subunit_C_(bacteria)_
Nitrification_	hao_	Hydroxylamine_dehydrogenase_
Nitrification_	nxrA_	"Nitrite_oxidoreductase,_alpha_subunit_"
Nitrification_	nxrB_	"Nitrite_oxidoreductase,_beta_subunit_"
Denitrification_	napA_	Periplasmic_nitrate_reductase_NapA_
Denitrification_	napB_	Cytochrome_c-type_protein_NapB_
Denitrification_	napC_	Cytochrome_c-type_protein_NapC_
Denitrification_	narG_	Nitrate_reductase_
Denitrification_	narH_	Nitrate_reductase_
Denitrification_	narJ_	Nitrate_reductase_molybdenum_cofactor_assembly_chaperone_
Denitrification_	narI_	Nitrate_reductase_gamma_subunit_
Denitrification_	nirK_	Nitrite_reductase_(NO-forming)_
Denitrification_	nirS_	Nitrite_reductase_(NO-forming)_
Denitrification_	norB_	Nitric_oxide_reductase_subunit_B_
Denitrification_	norC_	Nitric_oxide_reductase_subunit_C_
Denitrification_	nosZ_	Nitrous-oxide_reductase_
Denitrification_	narZ_	"Nitrate_reductase_2,_alpha_subunit_"
Denitrification_	narY_	"Nitrate_reductase_2,_beta_subunit_"
Denitrification_	narV_	"Nitrate_reductase_2,_gamma_subunit_"
Denitrification_	narW_	"Nitrate_reductase_2,_delta_subunit_"
Assimilatory_nitrate_reduction_	nasA_	Assimilatory_nitrate_reductase_catalytic_subunit_
Assimilatory_nitrate_reduction_	nasB_	Assimilatory_nitrate_reductase_electron_transfer_subunit_
Assimilatory_nitrate_reduction_	nirA_	Ferredoxin-nitrite_reductase_
Assimilatory_nitrate_reduction_	NR_	Nitrate_reductase_(NAD(P)H)_
Assimilatory_nitrate_reduction_	narB_	Assimilatory_nitrate_reductase_
Assimilatory_nitrate_reduction_	narC_	Cytochrome_b-561_
Dissimilatory_nitrate_reduction_	napA_	Periplasmic_nitrate_reductase_NapA_
Dissimilatory_nitrate_reduction_	napB_	Cytochrome_c-type_protein_NapB_
Dissimilatory_nitrate_reduction_	napC_	Cytochrome_c-type_protein_NapC_
Dissimilatory_nitrate_reduction_	narG_	Nitrate_reductase_
Dissimilatory_nitrate_reduction_	narH_	Nitrate_reductase_
Dissimilatory_nitrate_reduction_	narJ_	Nitrate_reductase_molybdenum_cofactor_assembly_chaperone_
Dissimilatory_nitrate_reduction_	narI_	Nitrate_reductase_gamma_subunit_
Dissimilatory_nitrate_reduction_	narZ_	"Nitrate_reductase_2,_alpha_subunit_"
Dissimilatory_nitrate_reduction_	narY_	"Nitrate_reductase_2,_beta_subunit_"
Dissimilatory_nitrate_reduction_	narV_	"Nitrate_reductase_2,_gamma_subunit_"
Dissimilatory_nitrate_reduction_	narW_	"Nitrate_reductase_2,_delta_subunit_"
Dissimilatory_nitrate_reduction_	nirB_	Nitrite_reductase_(NADH)_large_subunit_
Dissimilatory_nitrate_reduction_	nirD_	Nitrite_reductase_(NADH)_small_subunit_
Dissimilatory_nitrate_reduction_	nrfA_	Nitrite_reductase_(cytochrome_c-552)_
Dissimilatory_nitrate_reduction_	nrfB_	Cytochrome_c-type_protein_NrfB_
Dissimilatory_nitrate_reduction_	nrfC_	Protein_NrfC_
Dissimilatory_nitrate_reduction_	nrfD_	Protein_NrfD_
Nitrogen_fixation_	anfG_	Nitrogenase_delta_subunit_
Nitrogen_fixation_	nifD_	Nitrogenase_molybdenum-iron_protein_alpha_chain_
Nitrogen_fixation_	nifH_	Nitrogenase_iron_protein_NifH_
Nitrogen_fixation_	nifK_	Nitrogenase_molybdenum-iron_protein_beta_chain_
Nitrogen_fixation_	nifW_	Nitrogenase-stabilizing/protective_protein_
Anammox_	hzo_	Hydrazine_oxidoreductase_
Anammox_	hzsA_	Hydrazine_synthase_subunit_A_
Anammox_	hzsB_	Hydrazine_synthase_subunit_B_
Anammox_	hzsC_	Hydrazine_synthase_subunit_C_
Anammox_	hdh_	Hydrazine_dehydrogenase_
Nitrogen_Mineralization_	ureA_	Urease_subunit_gamma_
Nitrogen_Mineralization_	ureB_	Urease_subunit_beta_
Nitrogen_Mineralization_	ureC_	Urease_subunit_alpha_
Nitrogen_Mineralization_	nao_	Nitroalkane_oxidase_
Nitrogen_Mineralization_	nmo_	Nitronate_monooxygenase_
Nitrogen_Mineralization_	gdh_K00260_	Glutamate_dehydrogenase_
Nitrogen_Mineralization_	gdh_K00261_	Glutamate_dehydrogenase_(NAD(P)+)_
Nitrogen_Mineralization_	gdh_K00262_	Glutamate_dehydrogenase_(NADP+)_
Nitrogen_Mineralization_	gdh_K15371_	Glutamate_dehydrogenase_
Ammonium_assimilation_	gs_K00264_	Glutamate_synthase_(NADPH/NADH)_
Ammonium_assimilation_	gs_K00265_	Glutamate_synthase_(NADPH/NADH)_large_chain_
Ammonium_assimilation_	gs_K00266_	Glutamate_synthase_(NADPH/NADH)_small_chain_
Ammonium_assimilation_	gs_K00284_	Glutamate_synthase_(ferredoxin)_
Nitrogen_Mineralization_	glsA_	Glutaminase_
Ammonium_assimilation_	glnA_	Glutamine_synthetase_
Ammonium_assimilation_	asnB_	Asparagine_synthase_(glutamine-hydrolysing)_
Ammonium_assimilation_	ansB_	Glutamin-(asparagin-)ase_
Others_	hcp_	Hydroxylamine_reductase_
Others_	pmoA_	Particulate_methane_monooxygenase_subunit_A_
Others_	pmoB_	Particulate_methane_monooxygenase_subunit_B_
Others_	pmoC_	Particulate_methane_monooxygenase_subunit_C_
