Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	1083	1674	381	35	18	29	29	12	12	4	0	1	1	3586	3196	3303	2102	10329	7343	7339	13360	4384	10076	5921	261	231	58	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Xanthoparmelia	unassigned
ASV_10	561	341	331	8	2	1	3	0	2	0	1	0	0	2	8	5	162	12	209	162	191	33	31	25	5142	62	3382	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Bionectriaceae	Bionectriaceae_gen_Incertae_sedis	Bionectriaceae_sp
ASV_100	0	0	0	0	0	0	0	0	0	0	0	0	737	179	0	0	4	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Sordariomycetes	Sordariomycetes_ord_Incertae_sedis	Sordariomycetes_fam_Incertae_sedis	Sordariomycetes_gen_Incertae_sedis	Sordariomycetes_sp
ASV_1000	0	2	0	7	4	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Herpotrichiellaceae	Cladophialophora	Cladophialophora_sp
ASV_1001	0	0	1	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	Cladosporium_halotolerans
ASV_1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_olivacea
ASV_1003	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Toxicocladosporium	Toxicocladosporium_strelitziae
ASV_1004	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1005	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella_sp
ASV_1006	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	unassigned	unassigned	unassigned
ASV_1007	0	0	0	0	0	0	10	8	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1008	0	0	0	0	0	0	9	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_1009	0	0	0	0	0	0	10	5	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Cyphellophoraceae	Cyphellophora	Cyphellophora_sp
ASV_101	25	15	25	0	8	0	85	140	19	129	31	194	3	0	0	0	0	0	0	1	0	0	3	0	24	75	35	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
