Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Abditibacteriota|Abditibacteria|Abditibacteriales|Abditibacteriaceae|Abditibacterium	0.455146087211863	0.198208779914844	0.403758625752459	0.00734106592277199	0.0513874614594039	0	0.0293642636910879	0.0293642636910879	0	0.0513874614594039	0.14682131845544	0.0807517251504919	0.00734106592277199	0.00734106592277199	0.014682131845544	0	0.00734106592277199	0.022023197768316	0.286301570988107	0.323006900601967	0.249596241374248	0.0660695933049479	0.117457054764352	0.389076493906915	0.190867713992072	0.0660695933049479	0.271619439142563
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriae|Acidobacteriae|Paludibaculum	0.300983702833651	0.0440463955366319	0.227573043605932	0	0	0	0	0	0	0	0.00734106592277199	0	0	0	0.00734106592277199	0	0	0.014682131845544	0.014682131845544	0.0440463955366319	0.022023197768316	0	0	0	0.154162384378212	0.014682131845544	0.0367053296138599
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Acidipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0.014682131845544	0.1835266480693	10.4022904125679	0.0807517251504919	0.139480252532668	0.014682131845544	0.00734106592277199	0.484510350902951	0	0	0.0513874614594039	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Edaphobacter	0	0	0	0	0	0	0	0	0	0	0	0	1.87197181030686	0.132139186609896	0.873586844809866	6.2105417706651	0.198208779914844	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Granulicella	0	0	0	0	0.00734106592277199	0.014682131845544	0	0	0	0	0	0	0	0.278960505065335	0	0.0513874614594039	0.0440463955366319	0	0.022023197768316	0.022023197768316	0	0	0	0.00734106592277199	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Terriglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0954338569960358	0.117457054764352	0.85156364704155	0.513874614594039	0.014682131845544	0	0	0	0.00734106592277199	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|uncultured|uncultured	0	0	0	0.00734106592277199	0.014682131845544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00734106592277199	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bryobacter	0.345030098370283	0.506533548671267	0.396417559829687	0.124798120687124	0.0513874614594039	0.345030098370283	0.653354867126707	0.345030098370283	0.506533548671267	0.521215680516811	0.866245778887094	0.359712230215827	3.31082073117017	1.89399500807517	4.78637498164734	4.47070914696814	2.16561444721774	2.01145206283952	2.28307150198209	1.15988841579797	2.22434297459991	0.976361767728674	0.858904712964322	0.763470855968287	0.572603141976215	0.477169284980179	0.154162384378212
Bacteria|Acidobacteriota|Acidobacteriae|GOUTB8|GOUTB8|GOUTB8	0	0	0	0	0	0	0.0734106592277199	0.022023197768316	0	0.0293642636910879	0.00734106592277199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Solibacterales|Solibacteraceae|Candidatus_Solibacter	0	0	0	0	0	0	0.022023197768316	0	0	0	0.0440463955366319	0.0293642636910879	0.014682131845544	0	0	0	0	0	0.00734106592277199	0	0	0.0367053296138599	0.00734106592277199	0	0	0	0
