Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Fungi|Aphelidiomycota|Aphelidiomycetes|Aphelidiomycetes_ord_Incertae_sedis|Aphelidiomycetes_fam_Incertae_sedis|Aphelidiomycetes_gen_Incertae_sedis	0	0	0	0	0	0	0	0	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0.0184820108427797	0
Fungi|Aphelidiomycota|Aphelidiomycetes|GS16|GS16_fam_Incertae_sedis|GS16_gen_Incertae_sedis	0.0123213405618531	0.0184820108427797	0.0554460325283391	0.0184820108427797	0.043124691966486	0.0246426811237063	0.0616067028092656	0.0184820108427797	0.00616067028092657	0.00616067028092657	0.00616067028092657	0.0246426811237063	0	0	0	0	0	0	0.0616067028092656	0.0862493839329719	0.0123213405618531	0.0246426811237063	0.0123213405618531	0.0123213405618531	0.0123213405618531	0.0123213405618531	0.0246426811237063
Fungi|Ascomycota|Arthoniomycetes|Arthoniales|Opegraphaceae|Opegrapha	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19714144898965	0.449728930507639	0.0246426811237063	0.0492853622474125	0.19714144898965	0.0554460325283391	0.0554460325283391	0.0739280433711188	0	0	0	0.0616067028092656	0.0123213405618531	0.0739280433711188
Fungi|Ascomycota|Ascomycota_cls_Incertae_sedis|Ascomycota_ord_Incertae_sedis|Ascomycota_fam_Incertae_sedis|Ascomycota_gen_Incertae_sedis	0.308033514046328	1.42311483489404	0.277230162641695	0.794726466239527	0.0862493839329719	1.23213405618531	0.0739280433711188	0.0123213405618531	0.00616067028092657	0.0677673730901922	0.0123213405618531	0.0616067028092656	0.0123213405618531	0.0492853622474125	1.14588467225234	0.388122227698374	0.0924100542138985	0.0123213405618531	0.0184820108427797	0.043124691966486	0.043124691966486	0.129374075899458	0.184820108427797	0.486692952193199	0.098570724494825	2.21168063085264	0.0862493839329719
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Aplosporellaceae|Aplosporella	0.0246426811237063	0	0	0	0	0	0	0	0	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0.0123213405618531	0.0123213405618531	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Botryosphaeria	0.0123213405618531	0.0184820108427797	0	0.190980778708724	0	0.0184820108427797	0	0.00616067028092657	0	0.00616067028092657	0	0.00616067028092657	0	0	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0.0184820108427797	0
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Diplodia	0.043124691966486	0.0308033514046328	0.0123213405618531	0	0	0	0	0	0	0	0.0246426811237063	0.00616067028092657	0	0.00616067028092657	0	0.0369640216855594	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Dothiorella	0.0308033514046328	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Lasiodiplodia	0.184820108427797	0.0616067028092656	0.135534746180384	0.0308033514046328	0.0308033514046328	0.0369640216855594	0.0308033514046328	0	0	0.0123213405618531	0	0	0.043124691966486	0.0616067028092656	0.0123213405618531	0.0554460325283391	0.00616067028092657	0	0.0369640216855594	0.0184820108427797	0.0492853622474125	0.468210941350419	0.492853622474125	0.344997535731888	0	0	0.00616067028092657
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Neofusicoccum	0.0308033514046328	0.0246426811237063	0.0184820108427797	0.62838836865451	0	0.332676195170034	0.00616067028092657	0.0123213405618531	0	0.00616067028092657	0.00616067028092657	0.00616067028092657	0.00616067028092657	0	0.0123213405618531	0.0184820108427797	0	0	0.00616067028092657	0.00616067028092657	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Pseudofusicoccaceae|Pseudofusicoccum	0	0	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Capnodiaceae|Leptoxyphium	0	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Capnodiales_fam_Incertae_sedis|Capnodiales_gen_Incertae_sedis	0.295712173484475	0.21562345983243	0.246426811237063	0.320354854608181	0.0123213405618531	0.0184820108427797	0.172498767865944	0.320354854608181	0.0369640216855594	0.499014292755052	0.0246426811237063	0.0739280433711188	0.665352390340069	6.78289797930015	1.45391818629867	4.07836372597339	7.85485460818137	2.180877279448	0.763923114834894	3.18506653523903	0.234105470675209	0.499014292755052	0.043124691966486	0.0739280433711188	5.95120749137506	0.098570724494825	10.0480532281912
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Cladosporiaceae|Cladosporiaceae_gen_Incertae_sedis	0.00616067028092657	0.00616067028092657	0	0	0.0308033514046328	0.0123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Cladosporiaceae|Cladosporium	2.22400197141449	3.0372104484968	1.00418925579103	47.8376047313948	7.63923114834894	27.3841793987186	0.104731394775752	0.0677673730901922	0.00616067028092657	0.443568260226713	0.110892065056678	0.449728930507639	0.0308033514046328	0.104731394775752	0.135534746180384	2.80310497782159	0.696155741744702	0.271069492360769	0.184820108427797	0.17865943814687	0.135534746180384	1.68802365697388	0.363479546574667	0.455889600788566	0.190980778708724	2.0638245441104	0.418925579103006
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Cladosporiaceae|Melomastia	0	0	0	0.0123213405618531	0	0.0184820108427797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Cladosporiaceae|Toxicocladosporium	0	0	0	2.34105470675209	0	0.0677673730901922	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0	0	0.00616067028092657	0	0.00616067028092657	0	0	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Dissoconiaceae|Uwebraunia	0	0	0	0.043124691966486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Neodevriesiaceae|Neodevriesia	0.0800887136520453	0.043124691966486	0.0246426811237063	0.480532281912272	0.0246426811237063	1.05347461803844	0.0184820108427797	0	0.00616067028092657	0.0246426811237063	0	0.0184820108427797	0	0.00616067028092657	0	0.00616067028092657	0	0.0123213405618531	0.00616067028092657	0.0184820108427797	0.0123213405618531	0.0800887136520453	0.00616067028092657	0.00616067028092657	0.0123213405618531	0.0308033514046328	0.0123213405618531
Fungi|Ascomycota|Dothideomycetes|Capnodiales|Neodevriesiaceae|Neodevriesiaceae_gen_Incertae_sedis	0.00616067028092657	0.123213405618531	0	0	0	0	0	0	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0	0	0.00616067028092657	0	0	0	0	0
