Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Taxonomy
ASV_1	192	102	98	7	11	32	792	1076	227	801	464	1558	8	2	38	27	83	25	81	33	66	140	97	45	546	324	51	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Chloroplast,f:Chloroplast,g:Chloroplast,s:Bryum_argenteum
ASV_10	20	14	7	876	172	419	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	2	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Oxyphotobacteria_Incertae_Sedis,f:Unknown_Family,g:Leptolyngbya_VRUC_135,s:uncultured_bacterium
ASV_100	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	381	2	7	0	0	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Pseudonocardiales,f:Pseudonocardiaceae,g:Crossiella,s:uncultured_bacterium
ASV_1000	21	11	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	6	14	0	0	0	4	1	1	d:Bacteria,p:Abditibacteriota,c:Abditibacteria,o:Abditibacteriales,f:Abditibacteriaceae,g:Abditibacterium
ASV_1001	1	2	0	0	0	0	3	2	1	3	0	4	0	4	15	1	1	5	2	3	4	2	4	6	2	5	1	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas
ASV_1002	0	0	0	0	0	0	8	8	0	10	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:uncultured_bacterium
ASV_1003	2	0	0	0	2	0	3	2	0	7	1	2	0	1	1	0	0	1	0	7	0	4	9	8	0	0	1	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Solirubrobacter,s:uncultured_bacterium
ASV_1004	0	0	0	4	0	0	10	8	0	2	0	18	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Luteimonas,s:uncultured_bacterium
ASV_1005	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	31	15	1	0	0	0	1	1	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Sphingomonas_jejuensis
ASV_1006	0	0	0	19	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Aureimonas
ASV_1007	0	0	0	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Lysobacter,s:Lysobacter_xinjiangensis
ASV_1008	0	0	0	0	0	0	5	11	6	10	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Thermoleophilia,o:Solirubrobacterales,f:Solirubrobacteraceae,g:Conexibacter,s:uncultured_bacterium
ASV_1009	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	7	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides,s:uncultured_bacterium
ASV_101	1	1	2	0	0	0	0	0	0	0	0	0	0	24	28	0	0	88	30	25	26	0	2	0	175	26	97	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:D05-2,g:D05-2,s:uncultured_bacterium
ASV_1010	0	0	0	0	0	0	3	0	0	0	0	0	57	4	0	0	2	7	4	0	6	12	10	7	0	0	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Asanoa,s:Asanoa_siamensis
ASV_1011	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	59	17	3	0	17	0	0	0	0	14	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:uncultured_bacterium
ASV_1012	1	6	0	1	0	0	0	0	2	1	0	2	1	7	2	0	6	6	2	5	15	0	0	0	3	6	8	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:Afipia_sp.
ASV_1013	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	4	6	4	3	9	4	11	7	5	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Micromonosporales,f:Micromonosporaceae,g:Actinoplanes,s:uncultured_bacterium
ASV_1014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	13	21	0	0	0	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_1015	0	0	0	0	0	0	0	1	0	0	4	0	0	8	0	0	1	0	0	0	2	43	4	8	0	0	0	d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:Pyrinomonadales,f:Pyrinomonadaceae,g:RB41
ASV_1016	0	0	0	0	0	0	11	7	14	14	0	7	22	0	1	0	15	0	0	0	0	0	0	0	0	1	0	d:Bacteria,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Xanthomonadaceae,g:Luteimonas
ASV_1017	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	5	14	15	13	0	0	0	d:Bacteria,p:Acidobacteriota,c:Blastocatellia,o:11-24,f:11-24,g:11-24,s:uncultured_bacterium
ASV_1018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	21	22	0	0	0	d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,s:uncultured_bacterium
ASV_1019	1	0	0	0	0	0	15	11	0	8	2	0	0	0	0	0	0	0	0	0	0	1	1	0	10	0	0	d:Bacteria,p:Actinobacteriota,c:Rubrobacteria,o:Rubrobacterales,f:Rubrobacteriaceae,g:Rubrobacter,s:uncultured_bacterium
ASV_102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	235	147	0	0	0	d:Bacteria,p:Verrucomicrobiota,c:Verrucomicrobiae,o:Chthoniobacterales,f:Chthoniobacteraceae,g:Chthoniobacter,s:uncultured_bacterium
ASV_1020	0	0	2	0	0	0	10	15	0	7	19	3	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:uncultured,f:uncultured,g:uncultured,s:cyanobacterium_I_35_MF_cl1
ASV_1021	0	0	0	0	42	6	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0	0	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Propionibacteriales,f:Nocardioidaceae,g:Nocardioides
ASV_1022	1	0	0	0	0	0	28	26	0	1	0	12	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	d:Bacteria,p:Chloroflexi,c:Chloroflexia,o:Thermomicrobiales,f:JG30-KF-CM45,g:JG30-KF-CM45,s:uncultured_bacterium
ASV_1023	7	3	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	5	6	9	4	1	2	3	2	8	d:Bacteria,p:Abditibacteriota,c:Abditibacteria,o:Abditibacteriales,f:Abditibacteriaceae,g:Abditibacterium,s:uncultured_bacterium
ASV_1024	0	0	0	0	0	0	0	0	0	0	33	1	0	1	0	0	0	1	1	0	3	1	2	0	0	0	0	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingomonas,s:uncultured_bacterium
ASV_1025	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d:Bacteria,p:Planctomycetota,c:Planctomycetes,o:Gemmatales,f:Gemmataceae,g:Gemmata,s:uncultured_bacterium
ASV_1026	7	7	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	3	0	2	d:Bacteria,p:Actinobacteriota,c:Actinobacteria,o:Euzebyales,f:Euzebyaceae,g:uncultured,s:uncultured_bacterium
ASV_1027	7	2	10	1	0	0	1	0	0	0	0	0	0	0	2	0	0	2	18	17	1	0	0	0	10	1	4	d:Bacteria,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Beijerinckiaceae,g:Psychroglaciecola
ASV_1028	0	0	1	6	27	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	d:Bacteria,p:Cyanobacteria,c:Cyanobacteriia,o:Cyanobacteriales,f:uncultured,g:uncultured,s:uncultured_cyanobacterium
