Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_10	22	16	9	848	188	416	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	1	1	0	2	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria_Incertae_Sedis	Unknown_Family	Leptolyngbya_VRUC_135	uncultured_bacterium
ASV_100	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	370	2	6	0	0	0	Bacteria	Actinobacteriota	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Crossiella	uncultured_bacterium
ASV_1000	20	13	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	4	10	0	0	0	7	4	1	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	uncultured_bacterium
ASV_1001	2	5	0	0	0	0	5	5	2	1	0	9	0	7	14	1	1	4	1	2	6	1	6	3	1	3	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	unknown
ASV_1002	0	0	0	0	0	0	4	5	0	10	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	uncultured	uncultured_bacterium
ASV_1003	1	0	0	0	0	0	5	4	0	6	0	5	0	1	1	0	0	0	0	4	0	2	11	6	0	0	2	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	uncultured_bacterium
ASV_1004	0	0	0	2	0	0	9	4	0	13	0	13	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Luteimonas	uncultured_bacterium
ASV_1005	0	3	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	7	27	19	0	0	0	0	0	0	1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_bacterium
ASV_1006	0	0	0	20	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	unknown	unknown
ASV_1007	0	0	0	0	45	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	Lysobacter_xinjiangensis
