Var1	Var2	value
2	Bla_2	Bla_1	1.94942815422726
3	Bla_3	Bla_1	-0.0343228125371951
4	Bla_4	Bla_1	2.97257764788834
5	Bla_5	Bla_1	2.63327536971004
6	Bla_6	Bla_1	1.66783402408795
7	CK_1	Bla_1	4.2393343314375
8	CK_2	Bla_1	5.65406744299813
9	CK_3	Bla_1	2.94219312837431
10	CK_4	Bla_1	5.8651411830112
11	CK_5	Bla_1	4.05677023986612
12	CK_6	Bla_1	3.83789710474393
13	Gre_1	Bla_1	4.52293007065385
14	Gre_2	Bla_1	4.31376449622254
15	Gre_3	Bla_1	2.2342887917627
16	Gre_4	Bla_1	4.66565046027339
17	Gre_5	Bla_1	4.09477680086691
18	Gre_6	Bla_1	3.79693657817371
19	Gre_7	Bla_1	8.77588083002257
20	Gre_8	Bla_1	8.14426571802719
21	Whi_1	Bla_1	0.638110118065389
22	Whi_2	Bla_1	2.31554114764288
23	Whi_3	Bla_1	6.3471306696527
24	Whi_4	Bla_1	5.09520417492373
25	Whi_5	Bla_1	6.05927235349419
26	Whi_6	Bla_1	7.99402706158302
27	Whi_7	Bla_1	6.16372590100021
30	Bla_3	Bla_2	-0.558274127167957
31	Bla_4	Bla_2	0.732418911037275
32	Bla_5	Bla_2	1.15094279988175
33	Bla_6	Bla_2	0.270589835178673
34	CK_1	Bla_2	1.52867775658
35	CK_2	Bla_2	4.34261333178256
36	CK_3	Bla_2	1.6096170495769
37	CK_4	Bla_2	3.80714082603198
38	CK_5	Bla_2	1.08918558746662
39	CK_6	Bla_2	1.81303361834152
40	Gre_1	Bla_2	1.98985685717253
41	Gre_2	Bla_2	1.61556678958748
42	Gre_3	Bla_2	0.505440605651371
43	Gre_4	Bla_2	2.1892885676426
44	Gre_5	Bla_2	2.68498009686028
45	Gre_6	Bla_2	2.01128991003479
46	Gre_7	Bla_2	3.87720706435558
47	Gre_8	Bla_2	4.34240511539779
48	Whi_1	Bla_2	1.41211568605129
49	Whi_2	Bla_2	2.41945599850922
50	Whi_3	Bla_2	5.45785886101298
51	Whi_4	Bla_2	1.67587193620875
52	Whi_5	Bla_2	4.92266524350467
53	Whi_6	Bla_2	6.89359866693652
54	Whi_7	Bla_2	3.59019678395486
58	Bla_4	Bla_3	0.360367214317581
59	Bla_5	Bla_3	1.07475139166672
60	Bla_6	Bla_3	0.167820786750295
61	CK_1	Bla_3	2.12358447942835
62	CK_2	Bla_3	3.88325179615198
63	CK_3	Bla_3	1.96785814984553
64	CK_4	Bla_3	3.90497426690026
65	CK_5	Bla_3	2.58273952125072
66	CK_6	Bla_3	1.3475983333423
67	Gre_1	Bla_3	3.00080685126622
68	Gre_2	Bla_3	2.23987270943713
69	Gre_3	Bla_3	1.91171294103583
70	Gre_4	Bla_3	3.06246123780146
71	Gre_5	Bla_3	2.1004190356737
72	Gre_6	Bla_3	1.71725098504049
73	Gre_7	Bla_3	5.32554574577943
74	Gre_8	Bla_3	5.06330963958711
75	Whi_1	Bla_3	0.642078355621578
76	Whi_2	Bla_3	0.381826679417746
77	Whi_3	Bla_3	3.85863521865206
78	Whi_4	Bla_3	2.5867829011987
79	Whi_5	Bla_3	3.89926827533507
80	Whi_6	Bla_3	6.79344531280653
81	Whi_7	Bla_3	2.84989282171444
86	Bla_5	Bla_4	-0.751491012025808
87	Bla_6	Bla_4	-0.223799822548347
88	CK_1	Bla_4	1.61862713794291
89	CK_2	Bla_4	1.99735871211919
90	CK_3	Bla_4	0.981641759030236
91	CK_4	Bla_4	1.95582794735979
92	CK_5	Bla_4	4.12503464069397
93	CK_6	Bla_4	1.29947750514086
94	Gre_1	Bla_4	0.998875209932132
95	Gre_2	Bla_4	2.83827870201881
96	Gre_3	Bla_4	0.177990778968012
97	Gre_4	Bla_4	0.167484541439103
98	Gre_5	Bla_4	4.32945791866897
99	Gre_6	Bla_4	4.48777012310558
100	Gre_7	Bla_4	2.5239681967504
101	Gre_8	Bla_4	2.65736841670022
102	Whi_1	Bla_4	0.896336824910535
103	Whi_2	Bla_4	0.614655020690032
104	Whi_3	Bla_4	0.770987166061476
105	Whi_4	Bla_4	0.403466162427408
106	Whi_5	Bla_4	2.88533475001135
107	Whi_6	Bla_4	4.23867371301461
108	Whi_7	Bla_4	0.906572389758046
114	Bla_6	Bla_5	-0.321215280480823
115	CK_1	Bla_5	0.504206208245204
116	CK_2	Bla_5	0.369611225726842
117	CK_3	Bla_5	-0.415515383307829
118	CK_4	Bla_5	0.643033715488332
119	CK_5	Bla_5	0.808723236973747
120	CK_6	Bla_5	-0.0115466728843917
121	Gre_1	Bla_5	-0.108378339848291
122	Gre_2	Bla_5	0.121171841544478
123	Gre_3	Bla_5	0.381181765105064
124	Gre_4	Bla_5	-0.761862525116489
125	Gre_5	Bla_5	0.537598535500121
126	Gre_6	Bla_5	0.560534789844388
127	Gre_7	Bla_5	1.15247967903993
128	Gre_8	Bla_5	0.55612597990941
129	Whi_1	Bla_5	-0.19677026844392
130	Whi_2	Bla_5	-0.804492326873584
131	Whi_3	Bla_5	-0.870126588489033
132	Whi_4	Bla_5	-0.516162563051922
133	Whi_5	Bla_5	1.97191343982793
134	Whi_6	Bla_5	3.3611979796596
135	Whi_7	Bla_5	-0.539209172828909
142	CK_1	Bla_6	3.12132070298433
143	CK_2	Bla_6	2.71705175362081
144	CK_3	Bla_6	1.19134903755741
145	CK_4	Bla_6	2.81310830398386
146	CK_5	Bla_6	4.77680788443777
147	CK_6	Bla_6	1.54501777438032
148	Gre_1	Bla_6	0.504509059961761
149	Gre_2	Bla_6	2.59428159133792
150	Gre_3	Bla_6	0.421533754476919
151	Gre_4	Bla_6	0.204310029983985
152	Gre_5	Bla_6	4.02986900389203
153	Gre_6	Bla_6	3.93894998050427
154	Gre_7	Bla_6	3.10016287054368
155	Gre_8	Bla_6	2.59472863030456
156	Whi_1	Bla_6	1.6296611049214
157	Whi_2	Bla_6	1.65733303070687
158	Whi_3	Bla_6	0.947642461009002
159	Whi_4	Bla_6	0.513810708683223
160	Whi_5	Bla_6	3.60555991283652
161	Whi_6	Bla_6	4.39603722510403
162	Whi_7	Bla_6	0.811389854906992
170	CK_2	CK_1	-0.833294209216678
171	CK_3	CK_1	-0.837249877476245
172	CK_4	CK_1	0.488570918661969
173	CK_5	CK_1	-1.53234005009659
174	CK_6	CK_1	-0.141973063006866
175	Gre_1	CK_1	1.65291429151913
176	Gre_2	CK_1	0.96116376774484
177	Gre_3	CK_1	1.58345461876289
178	Gre_4	CK_1	0.0168349937227186
179	Gre_5	CK_1	0.415952078879154
180	Gre_6	CK_1	0.0383355037730982
181	Gre_7	CK_1	3.76992868097118
182	Gre_8	CK_1	2.67804736216777
183	Whi_1	CK_1	0.62465930700409
184	Whi_2	CK_1	0.374446613796597
185	Whi_3	CK_1	0.322416932120316
186	Whi_4	CK_1	1.70062478690835
187	Whi_5	CK_1	2.29307526911
188	Whi_6	CK_1	5.02433801222467
189	Whi_7	CK_1	2.34918802206691
198	CK_3	CK_2	-0.370496971566194
199	CK_4	CK_2	-0.457301317136165
200	CK_5	CK_2	-1.10285267877575
201	CK_6	CK_2	0.261743716197183
202	Gre_1	CK_2	1.17473939354667
203	Gre_2	CK_2	1.11683322937505
204	Gre_3	CK_2	0.419358614165952
205	Gre_4	CK_2	0.0243433961795203
206	Gre_5	CK_2	1.30695525998568
207	Gre_6	CK_2	0.602579556767643
208	Gre_7	CK_2	1.15463978067693
209	Gre_8	CK_2	1.93068015849269
210	Whi_1	CK_2	0.952661881771871
211	Whi_2	CK_2	0.802248381165643
212	Whi_3	CK_2	-0.0903311372425919
213	Whi_4	CK_2	0.668050981427814
214	Whi_5	CK_2	1.49022706708908
215	Whi_6	CK_2	5.16240266221713
216	Whi_7	CK_2	2.13789389124411
226	CK_4	CK_3	-1.00641166045908
227	CK_5	CK_3	-0.700204585458099
228	CK_6	CK_3	-0.995769446613584
229	Gre_1	CK_3	0.156447669595776
230	Gre_2	CK_3	0.120728694844549
231	Gre_3	CK_3	0.649099532389586
232	Gre_4	CK_3	-0.956778251136256
233	Gre_5	CK_3	0.454714741581914
234	Gre_6	CK_3	-0.118036491128174
235	Gre_7	CK_3	1.72912984747321
236	Gre_8	CK_3	0.887484511625043
237	Whi_1	CK_3	-0.751495879650214
238	Whi_2	CK_3	-0.669508197152552
239	Whi_3	CK_3	-1.04485133041878
240	Whi_4	CK_3	-0.220095951051529
241	Whi_5	CK_3	0.872535905675146
242	Whi_6	CK_3	4.04867454850312
243	Whi_7	CK_3	0.577391491036035
254	CK_5	CK_4	-1.13078423797321
255	CK_6	CK_4	0.00514953955815483
256	Gre_1	CK_4	1.18939149928199
257	Gre_2	CK_4	0.887180570559022
258	Gre_3	CK_4	1.53088876470085
259	Gre_4	CK_4	-0.00704820134358042
260	Gre_5	CK_4	0.771839707643206
261	Gre_6	CK_4	0.329079291575505
262	Gre_7	CK_4	2.36909173901482
263	Gre_8	CK_4	0.861785429005834
264	Whi_1	CK_4	0.315006772864915
265	Whi_2	CK_4	0.169502255127236
266	Whi_3	CK_4	-0.751039716454394
267	Whi_4	CK_4	0.287411625573831
268	Whi_5	CK_4	1.51511605583474
269	Whi_6	CK_4	4.96183118819986
270	Whi_7	CK_4	1.70736679917167
282	CK_6	CK_5	-1.25217954365507
283	Gre_1	CK_5	1.25686807342031
284	Gre_2	CK_5	0.344933704257974
285	Gre_3	CK_5	1.04240774143145
286	Gre_4	CK_5	-0.368681803293402
287	Gre_5	CK_5	0.48986082121353
288	Gre_6	CK_5	0.390732125670301
289	Gre_7	CK_5	2.44715181931261
290	Gre_8	CK_5	1.79926662753334
291	Whi_1	CK_5	-0.139069298176344
292	Whi_2	CK_5	0.333934568050257
293	Whi_3	CK_5	-0.516538857741674
294	Whi_4	CK_5	0.406352588391476
295	Whi_5	CK_5	1.0368250309519
296	Whi_6	CK_5	4.99944987879908
297	Whi_7	CK_5	1.4028613564414
310	Gre_1	CK_6	0.898860816633713
311	Gre_2	CK_6	0.223543036352756
312	Gre_3	CK_6	1.00001766507357
313	Gre_4	CK_6	-0.761781872591717
314	Gre_5	CK_6	-0.0323967042200361
315	Gre_6	CK_6	-0.853078076325498
316	Gre_7	CK_6	2.03148539353444
317	Gre_8	CK_6	1.3483960960439
318	Whi_1	CK_6	-0.0166081489661429
319	Whi_2	CK_6	-0.520497962216002
320	Whi_3	CK_6	-0.726516871466002
321	Whi_4	CK_6	0.472828530137325
322	Whi_5	CK_6	0.515671499366075
323	Whi_6	CK_6	4.78476910655038
324	Whi_7	CK_6	2.59624521650884
338	Gre_2	Gre_1	1.6187954979136
339	Gre_3	Gre_1	1.29578167429413
340	Gre_4	Gre_1	-0.431742781379545
341	Gre_5	Gre_1	0.792432642930685
342	Gre_6	Gre_1	-0.221734734973644
343	Gre_7	Gre_1	3.87595028698457
344	Gre_8	Gre_1	4.56578501208458
345	Whi_1	Gre_1	2.20891596305328
346	Whi_2	Gre_1	0.890329253061599
347	Whi_3	Gre_1	0.493762118419084
348	Whi_4	Gre_1	1.0598965042921
349	Whi_5	Gre_1	2.21993873298971
350	Whi_6	Gre_1	-0.0512469780683565
351	Whi_7	Gre_1	0.745726759081267
366	Gre_3	Gre_2	0.374080724600431
367	Gre_4	Gre_2	0.0498390675832357
368	Gre_5	Gre_2	0.250497725959457
369	Gre_6	Gre_2	0.192951860034538
370	Gre_7	Gre_2	3.93898890398186
371	Gre_8	Gre_2	3.50121711758014
