Var1	Var2	value
2	Gre_2	Gre_1	0.0820098851042879
3	Gre_3	Gre_1	0.18061535921823
4	Gre_4	Gre_1	-0.0954605009012483
5	Gre_5	Gre_1	1.02903690152423
6	Gre_6	Gre_1	0.0843586037027831
7	Gre_7	Gre_1	3.33194284077015
8	Gre_8	Gre_1	3.45626038790633
11	Gre_3	Gre_2	-0.259382204476662
12	Gre_4	Gre_2	-0.205990111500725
13	Gre_5	Gre_2	0.284137880548951
14	Gre_6	Gre_2	0.274342996204264
15	Gre_7	Gre_2	2.75600887937988
16	Gre_8	Gre_2	2.24085749968177
20	Gre_4	Gre_3	-0.111019683009212
21	Gre_5	Gre_3	0.971601349069603
22	Gre_6	Gre_3	-0.206407217482236
23	Gre_7	Gre_3	5.322533182293
24	Gre_8	Gre_3	5.25961732900046
29	Gre_5	Gre_4	0.446429001085102
30	Gre_6	Gre_4	-0.0231922331870684
31	Gre_7	Gre_4	-0.0970408593958449
32	Gre_8	Gre_4	0.271563715667457
38	Gre_6	Gre_5	-0.260429852545045
39	Gre_7	Gre_5	2.64538332127401
40	Gre_8	Gre_5	2.62309845924555
47	Gre_7	Gre_6	1.71163150227175
48	Gre_8	Gre_6	1.161333083751
56	Gre_8	Gre_7	1.82510584537225
