Var1	Var2	value
2	Whi_2	Whi_1	-0.370855630690731
3	Whi_3	Whi_1	1.42398487400931
4	Whi_4	Whi_1	0.580475678172077
5	Whi_5	Whi_1	0.212758616906976
6	Whi_6	Whi_1	0.184283886529162
7	Whi_7	Whi_1	-0.210945407396516
10	Whi_3	Whi_2	-0.376639831539529
11	Whi_4	Whi_2	-0.255118768454085
12	Whi_5	Whi_2	0.72277417161077
13	Whi_6	Whi_2	-0.309681141536751
14	Whi_7	Whi_2	-0.419961020076092
18	Whi_4	Whi_3	1.00075574044574
19	Whi_5	Whi_3	1.05836315626726
20	Whi_6	Whi_3	-0.397119185095287
21	Whi_7	Whi_3	-0.434424881668717
26	Whi_5	Whi_4	-0.099404900577088
27	Whi_6	Whi_4	-0.232955796765838
28	Whi_7	Whi_4	-0.735516824372215
34	Whi_6	Whi_5	0.588456272925646
35	Whi_7	Whi_5	0.569723202881266
42	Whi_7	Whi_6	0.872383999810282
