Var1	Var2	value
2	Whi_2	Whi_1	-0.249896541359008
3	Whi_3	Whi_1	0.631870805824659
4	Whi_4	Whi_1	0.205479362375972
5	Whi_5	Whi_1	2.38936336160437
6	Whi_6	Whi_1	0.213286895767729
7	Whi_7	Whi_1	1.08816809578922
10	Whi_3	Whi_2	0.648585503388516
11	Whi_4	Whi_2	0.219187188593383
12	Whi_5	Whi_2	1.16513441350456
13	Whi_6	Whi_2	1.75406552607239
14	Whi_7	Whi_2	0.5415463649457
18	Whi_4	Whi_3	0.0140461675232677
19	Whi_5	Whi_3	-0.320065396901431
20	Whi_6	Whi_3	0.955002289550922
21	Whi_7	Whi_3	-0.321899795351155
26	Whi_5	Whi_4	0.384569608704768
27	Whi_6	Whi_4	1.94878514075716
28	Whi_7	Whi_4	2.9193625248857
34	Whi_6	Whi_5	-0.757878633246695
35	Whi_7	Whi_5	6.87814584272719
42	Whi_7	Whi_6	-0.0507457227277574
