all_VFG_ID,all_VF_category
VFG037170,Exotoxin
VFG037177,Exotoxin
VFG037172,Exotoxin
VFG037173,Exotoxin
VFG037176,Exotoxin
VFG037178,Exotoxin
VFG037179,Exotoxin
VFG037182,Exotoxin
VFG037184,Exotoxin
VFG037185,Exotoxin
VFG037186,Exotoxin
VFG037188,Exotoxin
VFG037189,Exotoxin
VFG037194,Exotoxin
VFG037195,Exotoxin
VFG037196,Exotoxin
VFG037198,Exotoxin
VFG037203,Exotoxin
VFG037201,Exotoxin
VFG037204,Exotoxin
VFG037209,Exotoxin
VFG037212,Exotoxin
VFG037218,Nutritional___Metabolic_factor
VFG037216,Nutritional___Metabolic_factor
VFG037219,Nutritional___Metabolic_factor
VFG037222,Nutritional___Metabolic_factor
VFG037224,Nutritional___Metabolic_factor
VFG037232,Nutritional___Metabolic_factor
VFG037230,Nutritional___Metabolic_factor
VFG037233,Nutritional___Metabolic_factor
VFG037236,Nutritional___Metabolic_factor
VFG037238,Nutritional___Metabolic_factor
VFG037243,Nutritional___Metabolic_factor
VFG037244,Nutritional___Metabolic_factor
VFG037246,Nutritional___Metabolic_factor
VFG037247,Nutritional___Metabolic_factor
VFG037250,Nutritional___Metabolic_factor
VFG037252,Nutritional___Metabolic_factor
VFG037255,Nutritional___Metabolic_factor
VFG037260,Nutritional___Metabolic_factor
VFG037258,Nutritional___Metabolic_factor
VFG037261,Nutritional___Metabolic_factor
VFG037264,Nutritional___Metabolic_factor
VFG037266,Nutritional___Metabolic_factor
VFG037272,Nutritional___Metabolic_factor
VFG037273,Nutritional___Metabolic_factor
VFG037274,Nutritional___Metabolic_factor
VFG037275,Nutritional___Metabolic_factor
VFG037277,Nutritional___Metabolic_factor
VFG037278,Nutritional___Metabolic_factor
VFG037280,Nutritional___Metabolic_factor
VFG037288,Nutritional___Metabolic_factor
VFG037286,Nutritional___Metabolic_factor
VFG037289,Nutritional___Metabolic_factor
VFG037292,Nutritional___Metabolic_factor
VFG037294,Nutritional___Metabolic_factor
VFG037302,Nutritional___Metabolic_factor
VFG037300,Nutritional___Metabolic_factor
VFG037303,Nutritional___Metabolic_factor
VFG037306,Nutritional___Metabolic_factor
VFG037308,Nutritional___Metabolic_factor
VFG037313,Nutritional___Metabolic_factor
VFG037314,Nutritional___Metabolic_factor
VFG037315,Nutritional___Metabolic_factor
VFG037316,Nutritional___Metabolic_factor
VFG037317,Nutritional___Metabolic_factor
VFG037320,Nutritional___Metabolic_factor
VFG037322,Nutritional___Metabolic_factor
VFG037330,Nutritional___Metabolic_factor
VFG037328,Nutritional___Metabolic_factor
VFG037329,Nutritional___Metabolic_factor
VFG037331,Nutritional___Metabolic_factor
VFG037333,Nutritional___Metabolic_factor
VFG037334,Nutritional___Metabolic_factor
VFG037336,Nutritional___Metabolic_factor
VFG037339,Nutritional___Metabolic_factor
VFG037344,Nutritional___Metabolic_factor
VFG037342,Nutritional___Metabolic_factor
VFG037345,Nutritional___Metabolic_factor
VFG037348,Nutritional___Metabolic_factor
VFG037350,Nutritional___Metabolic_factor
VFG037355,Nutritional___Metabolic_factor
VFG037356,Nutritional___Metabolic_factor
VFG037357,Nutritional___Metabolic_factor
VFG037358,Nutritional___Metabolic_factor
VFG037359,Nutritional___Metabolic_factor
VFG037362,Nutritional___Metabolic_factor
VFG037364,Nutritional___Metabolic_factor
VFG037372,Nutritional___Metabolic_factor
VFG037370,Nutritional___Metabolic_factor
VFG037373,Nutritional___Metabolic_factor
VFG037376,Nutritional___Metabolic_factor
VFG037386,Nutritional___Metabolic_factor
VFG037384,Nutritional___Metabolic_factor
VFG037387,Nutritional___Metabolic_factor
VFG037390,Nutritional___Metabolic_factor
VFG037392,Nutritional___Metabolic_factor
VFG037395,Nutritional___Metabolic_factor
VFG037400,Nutritional___Metabolic_factor
VFG037398,Nutritional___Metabolic_factor
VFG037401,Nutritional___Metabolic_factor
VFG037404,Nutritional___Metabolic_factor
VFG037406,Nutritional___Metabolic_factor
VFG037411,Nutritional___Metabolic_factor
VFG037412,Nutritional___Metabolic_factor
VFG037414,Nutritional___Metabolic_factor
VFG037415,Nutritional___Metabolic_factor
VFG037417,Nutritional___Metabolic_factor
VFG037418,Nutritional___Metabolic_factor
VFG037428,Nutritional___Metabolic_factor
VFG037426,Nutritional___Metabolic_factor
VFG037429,Nutritional___Metabolic_factor
VFG037432,Nutritional___Metabolic_factor
VFG037434,Nutritional___Metabolic_factor
VFG037442,Nutritional___Metabolic_factor
VFG037440,Nutritional___Metabolic_factor
VFG037443,Nutritional___Metabolic_factor
VFG037446,Nutritional___Metabolic_factor
VFG037448,Nutritional___Metabolic_factor
VFG037456,Nutritional___Metabolic_factor
VFG037454,Nutritional___Metabolic_factor
VFG037457,Nutritional___Metabolic_factor
VFG037460,Nutritional___Metabolic_factor
VFG037462,Nutritional___Metabolic_factor
VFG037467,Nutritional___Metabolic_factor
VFG037468,Nutritional___Metabolic_factor
VFG037470,Nutritional___Metabolic_factor
VFG037471,Nutritional___Metabolic_factor
VFG037474,Nutritional___Metabolic_factor
VFG037476,Nutritional___Metabolic_factor
VFG037478,Nutritional___Metabolic_factor
VFG037481,Nutritional___Metabolic_factor
VFG037482,Nutritional___Metabolic_factor
VFG037483,Nutritional___Metabolic_factor
VFG037486,Nutritional___Metabolic_factor
VFG037489,Nutritional___Metabolic_factor
VFG037490,Nutritional___Metabolic_factor
VFG037491,Nutritional___Metabolic_factor
VFG037496,Nutritional___Metabolic_factor
VFG037497,Nutritional___Metabolic_factor
VFG037498,Nutritional___Metabolic_factor
VFG037499,Nutritional___Metabolic_factor
VFG037501,Nutritional___Metabolic_factor
VFG037502,Nutritional___Metabolic_factor
VFG037503,Nutritional___Metabolic_factor
VFG037504,Nutritional___Metabolic_factor
VFG037505,Nutritional___Metabolic_factor
VFG037506,Nutritional___Metabolic_factor
VFG037509,Nutritional___Metabolic_factor
VFG037512,Nutritional___Metabolic_factor
VFG037513,Nutritional___Metabolic_factor
VFG037514,Nutritional___Metabolic_factor
VFG037517,Nutritional___Metabolic_factor
VFG037518,Nutritional___Metabolic_factor
VFG037520,Nutritional___Metabolic_factor
VFG037521,Nutritional___Metabolic_factor
VFG037522,Nutritional___Metabolic_factor
VFG037525,Nutritional___Metabolic_factor
VFG037528,Nutritional___Metabolic_factor
VFG037529,Nutritional___Metabolic_factor
VFG037530,Nutritional___Metabolic_factor
VFG037533,Nutritional___Metabolic_factor
VFG037537,Nutritional___Metabolic_factor
VFG037538,Nutritional___Metabolic_factor
VFG037541,Nutritional___Metabolic_factor
VFG037544,Nutritional___Metabolic_factor
VFG037547,Nutritional___Metabolic_factor
VFG037546,Nutritional___Metabolic_factor
VFG037550,Nutritional___Metabolic_factor
VFG037552,Nutritional___Metabolic_factor
VFG037560,Biofilm
VFG037561,Biofilm
VFG037568,Biofilm
VFG037570,Biofilm
VFG037571,Biofilm
VFG037574,Biofilm
VFG037577,Biofilm
VFG037579,Biofilm
VFG037586,Biofilm
VFG037584,Biofilm
VFG037587,Biofilm
VFG037590,Biofilm
VFG037592,Biofilm
VFG037599,Biofilm
VFG037597,Biofilm
VFG037598,Biofilm
VFG037600,Biofilm
VFG037603,Biofilm
VFG037605,Biofilm
VFG037610,Biofilm
VFG037612,Biofilm
VFG037613,Biofilm
VFG037616,Biofilm
VFG037618,Biofilm
VFG037620,Biofilm
VFG037622,Biofilm
VFG037623,Biofilm
VFG037625,Biofilm
VFG037626,Biofilm
VFG037628,Biofilm
VFG037629,Biofilm
VFG037630,Biofilm
VFG037631,Biofilm
VFG037632,Biofilm
VFG037633,Biofilm
VFG037635,Biofilm
VFG037636,Biofilm
VFG037638,Biofilm
VFG037639,Biofilm
VFG037641,Biofilm
VFG037642,Biofilm
VFG037643,Biofilm
VFG037644,Biofilm
VFG037645,Biofilm
VFG037647,Biofilm
VFG037648,Biofilm
VFG037651,Biofilm
VFG037654,Biofilm
VFG037656,Biofilm
VFG037659,Biofilm
VFG037664,Biofilm
VFG037662,Biofilm
VFG037665,Biofilm
VFG037668,Biofilm
VFG037670,Biofilm
VFG037678,Biofilm
VFG037676,Biofilm
VFG037679,Biofilm
VFG037682,Biofilm
VFG037692,Biofilm
VFG037690,Biofilm
VFG037705,Biofilm
VFG037706,Biofilm
VFG037709,Biofilm
VFG037711,Biofilm
VFG037714,Biofilm
VFG037720,Biofilm
VFG037718,Biofilm
