Genus	Bla_1	Bla_2	Bla_3	Bla_4	Bla_5	Bla_6	CK_1	CK_2	CK_3	CK_4	CK_5	CK_6	Whi_4	Whi_5	Gre_7	Whi_6	Whi_7	Gre_8	Gre_1	Gre_2	Gre_3	Gre_4	Gre_5	Gre_6	Whi_1	Whi_2	Whi_3
Bacteria|Abditibacteriota|Abditibacteria|Abditibacteriales|Abditibacteriaceae|Abditibacterium	0.460001437504492	0.1868755839862	0.409688780277438	0.00718752246100769	0.0359376123050385	0	0.0431251347660461	0.0287500898440308	0.0143750449220154	0.0359376123050385	0.158125494142169	0.0718752246100769	0.00718752246100769	0.0143750449220154	0.00718752246100769	0	0.00718752246100769	0.0143750449220154	0.265938331057285	0.323438510745346	0.258750808596277	0.0646877021490692	0.0862502695320923	0.366563645511392	0.201250628908215	0.0287500898440308	0.388126212894415
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriae|Acidobacteriae|Paludibaculum	0.00718752246100769	0	0.0143750449220154	0	0	0	0	0	0	0	0.00718752246100769	0	0	0	0	0	0	0	0.00718752246100769	0.00718752246100769	0.00718752246100769	0.0287500898440308	0.0287500898440308	0.0862502695320923	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Acidipila	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143750449220154	0.201250628908215	10.242219506936	0.0790627470710846	0.115000359376123	0	0.00718752246100769	0.481564004887515	0	0	0.0503126572270538	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Edaphobacter	0	0	0	0	0	0	0	0	0	0	0	0	1.88313088478401	0.0431251347660461	0.805002515632861	2.50125781643068	0.172500539064185	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Granulicella	0	0	0	0	0	0.00718752246100769	0	0	0	0	0	0	0	0.230000718752246	0	0.0503126572270538	0.0431251347660461	0	0.00718752246100769	0	0	0.00718752246100769	0.00718752246100769	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|Terriglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100625314454108	0.115000359376123	0.848127650398907	0.503126572270538	0.0287500898440308	0	0	0	0.00718752246100769	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|Acidobacteriaceae_(Subgroup_1)|unknown	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862502695320923	0	3.50751096097175	0.0215625673830231	0	0	0	0	0	0	0	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Acidobacteriales|uncultured|uncultured	0	0	0	0	0.00718752246100769	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00718752246100769	0	0	0	0.0143750449220154	0.00718752246100769	0	0	0
Bacteria|Acidobacteriota|Acidobacteriae|Bryobacterales|Bryobacteraceae|Bryobacter	0.704377201178754	0.553439229497592	0.639689499029685	0.179688061525192	0.0575001796880615	0.309063465823331	0.575001796880615	0.460001437504492	0.495939049809531	0.488751527348523	0.955940487314023	0.273125853518292	3.32063537698555	1.91906849708905	4.66470207719399	4.2981384316826	2.12031912599727	1.81125566017394	2.4293825918206	1.37281679005247	2.27125709767843	1.01344066700208	0.869690217781931	0.783439948249838	0.567814274419608	0.531876662114569	0.251563286135269
Bacteria|Acidobacteriota|Acidobacteriae|Solibacterales|Solibacteraceae|Candidatus_Solibacter	0	0	0	0	0	0	0.00718752246100769	0	0	0	0.00718752246100769	0.0359376123050385	0.0287500898440308	0	0	0	0	0	0	0	0	0.00718752246100769	0.00718752246100769	0	0	0	0
