	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	taxonomy
Cenarchaeum	0	0	0	0	1	0	0	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Cenarchaeum
Nitrosopumilus	0	0	0	0	1457	0	0	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus
Candidatus_Methanoregula	0	0	0	0	0	0	145	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Candidatus_Methanoregula
Methanolinea	0	0	0	0	0	8	263	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea
Methanosaeta	0	0	0	0	0	6	136	k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosaetaceae;g__Methanosaeta
Coxiella	0	0	0	0	4	0	9	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__Coxiella
Methanomassiliicoccus	0	0	0	0	0	0	18	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus
Iamia	0	29	0	0	91	0	0	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Iamia
Candidatus_Microthrix	7	5	0	0	0	0	3	k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;f__Microthrixaceae;g__Candidatus_Microthrix
Planktophila	0	0	2	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK_M1;g__Planktophila
N09	0	0	0	0	5	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__N09
Corynebacterium	2	13	0	0	1	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium
Blastococcus	0	23	0	0	0	13	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Geodermatophilaceae;g__Blastococcus
