	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
Fuscheria	2	506	0	0	146	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Haptorida;f__Acropisthiidae;g__Fuscheria
Loxophyllum	0	0	0	2	0	k__Alveolata;p__Ciliophora;c__Litostomatea;o__Pleurostomatida;f__Litonotidae;g__Loxophyllum
Epistylis	230	439	1	0	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Oligohymenophorea_ord_Incertae_sedis;f__Epistylidae;g__Epistylis
Aristerostoma	0	0	3	5	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Oligohymenophorea_ord_Incertae_sedis;f__Oligohymenophorea_fam_Incertae_sedis;g__Aristerostoma
Homalogastra	0	10	0	0	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Philasterida;f__Uronematidae;g__Homalogastra
Cyclidium	0	0	0	3	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Pleuronematida;f__Cyclidiidae;g__Cyclidium
Trithigmostoma	23	83	15	10	0	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida;f__Cyrtophorida_fam_Incertae_sedis;g__Trithigmostoma
Cyrtohymena	0	0	0	2	2	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Oxytrichidae;g__Cyrtohymena
Gonostomum	15	18569	71	0	1	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Trachelostylidae;g__Gonostomum
Anteholosticha	0	0	0	9	0	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Urostylida;f__Holostichidae;g__Anteholosticha
Paraphelidium	0	6	0	0	0	k__Fungi;p__Aphelidiomycota;c__Aphelidiomycetes;o__Aphelidiales;f__Aphelidiales_fam_Incertae_sedis;g__Paraphelidium
Abrothallus	0	0	2	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Abrothallales;f__Abrothallaceae;g__Abrothallus
Botryosphaeria	0	2	13	0	14	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Botryosphaeria
Neodeightonia	0	0	2	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Botryosphaeriales;f__Botryosphaeriaceae;g__Neodeightonia
Cladosporium	20	23	49	37	55	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium
Cercospora	0	0	3	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Cercospora
Pseudocercosporella	0	4	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Pseudocercosporella
Zymoseptoria	0	0	0	1	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Zymoseptoria
Neodevriesia	0	1	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;g__Neodevriesia
Tripospermum	0	0	7	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Neodevriesiaceae;g__Tripospermum
Devriesia	0	0	0	0	22	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Devriesia
Murispora	0	0	0	0	4	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Murispora
Pyrenochaetopsis	0	39	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Cucurbitariaceae;g__Pyrenochaetopsis
Pseudoconiothyrium	0	0	0	0	2	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dictyosporiaceae;g__Pseudoconiothyrium
Didymella	0	12	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella
Pseudopithomyces	0	0	0	21	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Pseudopithomyces
Tremateia	2	0	0	0	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Tremateia
Periconia	5	1	0	3	0	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Periconiaceae;g__Periconia
Leptospora	39	38	0	11	14	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Leptospora
