	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	taxonomy
3ee4396cbbf93be75569c6dfdab8fd3f	81	160	107	143	53	92	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__Ellin6075;g__;s__
2884de58f6d199d3f2df3bc74a80a63f	20	56	239	713	68	234	86	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Ralstonia;s__
c4f6f6d1dec0d2e7ee6d04f6a05d14d9	9949	107	159	162	55	112	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
2251ac1beed52df8356e3da7fa466b23	0	0	0	0	0	0	66	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
963178f685ad47cb061db123bcce1e96	33	82	52	56	0	41	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__Ellin6075;g__;s__
9e7d8e102b5279320c5a6d110395cb98	0	0	0	0	0	0	17	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae;g__Phyllobacterium;s__
3e98dce21e8a87ff139fec4d7c8d6df8	0	0	25	0	0	0	32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer;s__adhaerens
c74199573ca94a788c5433cc2300f59b	28	0	58	36	3987	24	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__;s__
6cedebfd00dba0e22d526b78f80ec51c	0	0	0	0	0	0	36	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Reyranella;s__massiliensis
906be3a0d39cc7f5dac94982b9ad5d63	81	146	163	150	57	140	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__maltophilia
ddada2c383de72df440ff8afaf009f06	17	48	18	29	9	17	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__;g__;s__
dedd18c276e67057806fba6b5a92c865	75	116	86	92	33	265	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__vesicularis
14d6afcff531d3a61c74a52f80b1e70c	0	0	0	0	0	0	55	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__Nocardioides;s__
1b7dddb6793e5024c017b4f27b1ce940	0	0	0	0	0	0	15	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Pseudonocardia;s__
958a6620ce497c75dfc2c47524f8c75a	0	0	0	0	0	0	24	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae
45b293503391fb0cc2d680cb21fb32b6	51	65	47	51	16	43	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter;s__
6324dda2655f1e9df5c3ba7977ae750a	48	56	65	58	23	55	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
aa6a7b317b7a11dd759077984668f3c2	50	589	667	55	1237	39	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Limnobacter;s__
952111709b81cb9e81a8d584dc3e7fb0	159	275	139	113	167	183	148	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
8302f58cb984e832c23c0f699314d6e3	0	0	0	0	0	0	45	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__;s__
b7f080d0b3f056a9285ebacb3c81820e	0	0	0	0	23	0	34	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__
b63ceecce81076603dde89cab6af7f47	7	8	16	15	3	11	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
87d56da30ee6ac979e26a7d0cb5d823f	25	66	49	63	36	62	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
59c120dac98054c4f8fdc450adcef725	30	28	25	27	0	21	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
230ebfcad90216ed51522890ea6144db	8	31	15	9	6	20	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__Ellin6075;g__;s__
1581e718bda7e866a173c7bae18fd8b5	54	174	430	375	47	548	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
c39fa80059becba5066ed1625d7fba59	0	0	0	0	0	0	15	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae;g__Amycolatopsis
9d3e506aa8603c560f8925e54a6da1fd	132	192	82	0	37	75	113	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Solibacillus;s__
f130920bfcd5e380dcaefd67b2fd3f94	639	68	110	399	17	77	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
fe97445d9f23b726a2e7dd53616741ca	30	33	62	52	19	46	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
a948688d180403e8b1da61af7614a760	0	0	0	0	0	0	54	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__;s__
f0a9bfbafb9cfd1fb6b0331b0d3255fd	35	53	54	24	7	26	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Pedobacter;s__
1b38e6465257943fb9c3f43b5eb14957	35	106	88	136	60	1192	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
b7974c2c2d87b4a863cbcfae012a7a93	11	0	16	14	1	19	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
ebb8cd141910908de49434169e4b5436	33	40	0	59	23	44	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
5257bccd6dfeaa36b79821d9b2e193b7	15	800	119	112	33	189	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter
42534d79fe9402a7b9efd1046d8840fa	24	87	196	126	189	50	156	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas
57ae910b663d23ba8e850ec30fbaf01b	22	32	39	43	18	80	13	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas
ae0787cfe3bd3e00e7c0bea6af9a9499	26	42	34	34	23	31	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
1dc64261ccee5011e73aafdf19e05c41	9	0	13	20	0	11	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__;g__;s__
3bee227c79374bb846e3c98f6215bae7	0	0	0	0	0	0	80	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales;f__Methylophilaceae;g__;s__
0dba8f5fd4d3ca2631ceb5f075207c61	0	134	34	0	0	0	29	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae;g__;s__
2fdf80d3348706301e59e7d8f73dddc8	0	0	0	0	1085	0	0	k__Archaea;p__Crenarchaeota;c__Thaumarchaeota;o__Cenarchaeales;f__Cenarchaeaceae;g__Nitrosopumilus;s__
b44a67bfd78c65ea3880ca343fde2d37	0	0	0	0	30	62	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__
e00c8622865ef3b4d3a08382ed64b0e5	40	92	128	915	12	52	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
e09f7bf1a759aebd32df228d9d930337	31	31	35	52	0	27	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
c7e1740ff4eee830a261228821060a3a	33	42	0	38	17	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Naxibacter;s__indica
17458909565221aeb13109fddae79817	32	34	15	28	34	40	146	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__;s__
0940a1289ad776873fa08aa1026fde89	47	59	67	58	20	56	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava
9f008fbb556867133cc0f74770dcca93	71	139	62	58	67	61	68	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__
34a82c884768cce67b93718838591275	0	13	16	18	5	12	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
c8a2d84dd8897e00bba186b69eccfa99	0	0	0	0	0	10	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__;g__;s__
cf84f40a3e0ebcc3d36b74879dc2cf4d	448	0	79	244	48	85	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana;s__
2f4b8380f4e162de2625c1e2dc315a9c	0	0	0	0	397	0	736	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Thiobacterales;f__Thiobacteraceae;g__;s__
1e8fbf5a1011f840f8f3b1b86b362f5c	9	14	8	7	1	6	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
10aa05061805a10f374b0f9457ad4fc3	0	0	0	0	31	0	1239	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SBla14;f__;g__;s__
4b671989c95fdfcb3b48c7995c559507	4	0	0	0	0	0	9	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micromonosporaceae;g__Catellatospora;s__
c4f8cc058d4d90098647f59b2a74b61b	0	0	0	33	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
d6a35512c9e83be240526f2fbd8a3702	11	17	16	10	9	27	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales
5c60d19570a69f1c82b724a1165f89c6	142	209	126	31	25	46	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__
7d6a8d2e330bf9a53bbae68c5d93a7c1	0	0	0	0	0	0	1001	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes;o__GIF9;f__;g__;s__
eeecf7f4f65546bbe25832d2d5d0bfc5	11	9	17	6	0	6	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
0c54fb0c9dcc2f9d6cd4fec526c3a58c	30	30	27	162	185	292	22	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Intrasporangiaceae;g__Phycicoccus;s__
16be1fa2c0641efcb9ea23cee9576b94	36	27	66	56	0	35	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;s__
e6f2e8b109cd2cf3857c75e9b16c67fe	419	43	101	124	11	60	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
5cb673b7342e2f6cbbbd8cc5e87e09cb	9	13	10	15	0	0	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__Ellin6075;g__;s__
f4aa24e32848cd23d133e4a43b8bdadc	18	0	29	20	0	22	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__;s__
9bcff30684dcc17b400cf5d1773f637f	373	60	161	125	14	47	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__marcusii
f662217bdbf3e04f934cf52b76e30b27	20	40	82	20	0	21	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
d1daa2e44cf50e0baad91ab81e959970	102	65	292	131	17	294	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
13e9d080a0f739a3f522ae5703c3df3a	3	0	0	0	0	0	0	k__Bacteria;p__Acidobacteria;c__Chloracidobacteria;o__RB41;f__;g__;s__
cebb5366b51afecfbb488f71fed9f611	0	0	0	107	109	231	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__johnsonii
48304bcf6b7a217137d209fdc3059ffa	9	7	7	12	0	0	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
7deca11a7f045a5fc622368af17d2c1e	0	0	0	0	0	0	18	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae
735d0a1981a447d9fc8ec7fbeaebdde5	513	0	16	17	0	0	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter;s__
79859a64a3361be07b42615fe1caf06d	0	19	0	0	0	5	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
513d90222b8a9c52df49a9510760d96b	0	0	0	0	352	0	14	k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales;f__Nitrospiraceae;g__Nitrospira;s__
5f2a637eb9458666e8430281d5917781	11	13	26	26	9	11	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
11a35270c84d0f2a479c3aa96662e86b	9	29	32	18	0	16	0	k__Bacteria;p__Bacteroidetes;c__Saprospirae;o__Saprospirales;f__Chitinophagaceae;g__Flavisolibacter;s__
bb5fb408449747b64704676b6c6ad285	0	0	0	0	0	0	14	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__
d36173317ea8d89ba6eda45707c884ec	0	0	30	32	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
91791367cebf6ad5c39cfb32383426ad	55	84	69	30	20	39	42	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__
d50d9c86e6188f21c3e69ad4aad4fc05	58	79	36	67	70	123	11	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__stutzeri
3d6039da614521f66a413f3e235b2f4c	16	821	145	27	4	10	0	k__Bacteria;p__Bacteroidetes;c__Saprospirae;o__Saprospirales;f__Chitinophagaceae;g__;s__
70ab03aaca5238d9ac23bdd3fb8389f2	249	50	84	102	18	122	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Kaistobacter;s__
e379ad52a57d6f8206720775d6cdf17b	12	0	15	11	4	17	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia
c54dc2eb477393146f643923a50f09d8	0	0	0	631	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;g__Clostridium;s__bifermentans
de6ea6f3ddeabb72c536f525af6e7941	283	21	36	35	7	169	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Devosia;s__
f4451a3a66446f7453e5d45669a22b93	32	65	40	16	0	12	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Exiguobacteraceae;g__Exiguobacterium;s__
48ffb5fc41d4d84539ac0d10c45766a1	53	172	259	163	9	117	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__zeaxanthinifaciens
ea3f1362091fbd1c3f987cb2503c3c22	0	7	0	43	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__viridiflava
f57aa778714a4efb259efeecbf53b9bc	5	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae
70f15bbdb3cb574c1fa4fbc90ff740b9	0	10	16	14	4	12	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Janthinobacterium;s__
2f8ec6227c3cd566ef420c4849cbc5fe	0	0	3	3	390	0	18	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__;s__
4c6ab49881b4a022636898af443635e6	495	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales
c8471a932b09f35dd428dda1d539475c	41	51	22	67	52	97	20	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__;g__;s__
dc277deecd2b7e1b85187a65e7ad95bb	29	36	50	420	0	104	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Mycoplana;s__
181e36c20361d9cb6dba3f3ed2fc2b6f	304	17	32	135	0	10	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Hymenobacter;s__
bb6bf661fbb608862938cb1abf1b29e1	20	19	18	26	0	37	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
3007a9821883167ac3b11a1acfe48e8c	0	0	0	622	0	0	0	k__Bacteria;p__TM7;c__TM7_3;o__I025;f__;g__;s__
5f0bb46c061e87e27136f835fb8dbfea	8	127	27	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardioidaceae
9f3bd0bff462a03509ccfddc88c470fa	7	0	6	9	0	4	0	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__
