	QiY201	QiY202	QiY204	QiY205	QiY206	taxonomy
11252e1a745a840548682a0daf4fea29	172	321	0	0	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Oligohymenophorea_ord_Incertae_sedis;f__Epistylidae;g__Epistylis;s__Epistylis_sp
f3513725c7782bb93e45f046e594bfa9	120	260	12	0	2	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;g__Purpureocillium
101ca107b594e1e892f308c308b5fb7e	15	18454	71	0	0	k__Alveolata;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Trachelostylidae;g__Gonostomum;s__Gonostomum_sp
fa98c4afb6eec32c91b5ef63d355e9b1	0	0	0	0	149	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Leprocaulales;f__Leprocaulaceae;g__Leprocaulon;s__Leprocaulon_sp
4538761231a131ed370004d0f9e7b5ee	0	0	99	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucocoprinus;s__Leucocoprinus_cepistipes
2283050768902d4db476a552c277792b	6	0	258	17110	59	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales
e1a9c98afbe8b3a4391387757fcdd57c	45	58	0	0	0	k__Alveolata;p__Ciliophora;c__Oligohymenophorea;o__Oligohymenophorea_ord_Incertae_sedis;f__Epistylidae;g__Epistylis;s__Epistylis_sp
7f25cbd2551f48caac32a5349d294057	13	51	13	8	0	k__Alveolata;p__Ciliophora;c__Phyllopharyngea;o__Cyrtophorida;f__Cyrtophorida_fam_Incertae_sedis;g__Trithigmostoma;s__Trithigmostoma_sp
6e5f85bb8e4bae7623235a59277b7d9c	0	24	94	53	0	k__Fungi;p__Ascomycota
879222b840d67c9a97f91f5f91fb4579	0	0	0	0	8875	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria;s__Phaeosphaeria_lunariae
1914932f1e458fb2574b50a1d77b3a63	0	0	60	0	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Leucocoprinus;s__Leucocoprinus_cepistipes
7533f148936453260a4b44684487bbcb	18	17	101	38	0	k__Fungi;p__Ascomycota
