	QiY201	QiY202	QiY203	QiY204	QiY205	QiY206	QiY207	Description
EC:1.1.1.1	150992	48281	59812	85581	112099	79584	43367	Alcohol dehydrogenase
EC:1.1.1.100	282503	102190	120079	162172	233343	146882	95287	3-oxoacyl-[acyl-carrier-protein] reductase
EC:1.1.1.102	27	19	61	110	13	44	0	3-dehydrosphinganine reductase
EC:1.1.1.103	3581	3286	4573	7577	5859	7396	729	L-threonine 3-dehydrogenase
EC:1.1.1.107	0	0	0	0	0	47	3	Pyridoxal 4-dehydrogenase
EC:1.1.1.108	1379	1223	2059	2661	3514	1782	704	Carnitine 3-dehydrogenase
EC:1.1.1.11	221	278	515	438	717	133	772	D-arabinitol 4-dehydrogenase
EC:1.1.1.122	8961	2969	4736	7309	3718	11385	703	D-threo-aldose 1-dehydrogenase
EC:1.1.1.125	16342	7371	11373	19360	5559	17882	2874	2-deoxy-D-gluconate 3-dehydrogenase
EC:1.1.1.130	20	55	348	797	532	89	91	3-dehydro-L-gulonate 2-dehydrogenase
EC:1.1.1.132	552	500	679	849	1989	852	361	GDP-mannose 6-dehydrogenase
EC:1.1.1.133	57192	24345	30773	39100	75493	30187	23671	dTDP-4-dehydrorhamnose reductase
EC:1.1.1.136	2103	2493	2507	3499	3107	2411	735	UDP-N-acetylglucosamine 6-dehydrogenase
EC:1.1.1.137	188	182	47	1259	8	16	0	Ribitol-5-phosphate 2-dehydrogenase
EC:1.1.1.14	2912	7249	2984	5169	9233	3789	8562	L-iditol 2-dehydrogenase
EC:1.1.1.140	24	86	603	1580	97	110	102	Sorbitol-6-phosphate 2-dehydrogenase
EC:1.1.1.145	0	46	16	22	0	492	7	3-beta-hydroxy-Delta(5)-steroid dehydrogenase
EC:1.1.1.157	85955	32638	33639	43686	61977	29987	22068	3-hydroxybutyryl-CoA dehydrogenase
EC:1.1.1.159	735	1231	861	755	10632	1026	1825	7-alpha-hydroxysteroid dehydrogenase
EC:1.1.1.163	1151	75	180	304	71	191	19	Cyclopentanol dehydrogenase
EC:1.1.1.169	87792	11973	16756	22185	53014	21229	13534	2-dehydropantoate 2-reductase
EC:1.1.1.17	363	1902	846	1876	511	542	372	Mannitol-1-phosphate 5-dehydrogenase
EC:1.1.1.173	2815	414	624	1757	337	2560	2	L-rhamnose 1-dehydrogenase
EC:1.1.1.18	6230	6951	5465	9931	4863	11119	1337	Inositol 2-dehydrogenase
EC:1.1.1.193	51544	24387	29316	40248	46043	31336	27103	5-amino-6-(5-phosphoribosylamino)uracil reductase
EC:1.1.1.2	63	141	831	24	293	46	1	Alcohol dehydrogenase (NADP(+))
EC:1.1.1.202	610	576	457	765	485	345	403	"1,3-propanediol dehydrogenase"
EC:1.1.1.203	5142	2710	3739	5299	4405	3738	1856	Uronate dehydrogenase
EC:1.1.1.205	55030	30277	30604	41790	51228	34084	31096	IMP dehydrogenase
EC:1.1.1.206	4942	929	2579	2535	1235	2397	98	Tropinone reductase I
EC:1.1.1.215	2145	1980	4413	4842	14790	1995	3861	Gluconate 2-dehydrogenase
EC:1.1.1.219	5560	3008	3701	4571	5587	5711	1503	Dihydrokaempferol 4-reductase
EC:1.1.1.22	57491	24069	29379	40384	44311	33593	27034	UDP-glucose 6-dehydrogenase
EC:1.1.1.23	54211	22434	27965	37811	48027	29766	28562	Histidinol dehydrogenase
EC:1.1.1.25	57910	29169	34109	46970	73243	38272	33073	Shikimate dehydrogenase
EC:1.1.1.251	0	8	12	8	76	7	93	Galactitol-1-phosphate 5-dehydrogenase
EC:1.1.1.26	9634	4074	7874	14312	11927	14932	3529	Glyoxylate reductase
EC:1.1.1.261	580	292	69	92	5020	115	2679	sn-glycerol-1-phosphate dehydrogenase
EC:1.1.1.262	53787	18408	27613	37314	44148	32684	22841	4-hydroxythreonine-4-phosphate dehydrogenase
EC:1.1.1.264	1916	2774	1514	2553	853	2771	336	L-idonate 5-dehydrogenase (NAD(P)(+))
EC:1.1.1.267	49701	21811	25291	34981	42423	26060	26777	1-deoxy-D-xylulose-5-phosphate reductoisomerase
EC:1.1.1.27	3699	4980	3132	4952	2685	2649	1958	L-lactate dehydrogenase
EC:1.1.1.271	15966	10835	11307	12226	14783	7886	7618	GDP-L-fucose synthase
EC:1.1.1.275	28	51	28	22	0	609	13	(+)-trans-carveol dehydrogenase
EC:1.1.1.276	4231	1998	5033	6787	1452	6279	83	Serine 3-dehydrogenase (NADP(+))
EC:1.1.1.28	14070	9119	13023	16764	20297	9815	6013	D-lactate dehydrogenase
EC:1.1.1.281	1065	1111	1124	1215	1585	923	533	GDP-4-dehydro-6-deoxy-D-mannose reductase
EC:1.1.1.282	0	15	181	462	38	0	86	Quinate/shikimate dehydrogenase
EC:1.1.1.284	46147	12409	23136	33968	36981	35942	16847	S-(hydroxymethyl)glutathione dehydrogenase
EC:1.1.1.289	7	0	0	24	0	36	40	Sorbose reductase
EC:1.1.1.29	5235	4395	3786	4062	16040	3721	6242	Glycerate dehydrogenase
EC:1.1.1.290	3504	1979	2219	3983	11729	1335	1192	4-phosphoerythronate dehydrogenase
EC:1.1.1.292	469	242	501	743	406	729	98	"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming)"
EC:1.1.1.294	1022	0	97	414	134	119	0	Chlorophyll(ide) b reductase
EC:1.1.1.298	0	2	81	252	128	49	0	3-hydroxypropionate dehydrogenase (NADP(+))
EC:1.1.1.3	60145	29072	35483	44980	51393	34682	31998	Homoserine dehydrogenase
EC:1.1.1.30	37555	9964	17737	23558	21333	21529	7138	3-hydroxybutyrate dehydrogenase
EC:1.1.1.300	0	2	0	6	33	0	0	NADP-retinol dehydrogenase
EC:1.1.1.302	3	50	7	5	4467	32	1877	"2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase"
EC:1.1.1.303	2893	2744	2306	3889	10473	3419	1270	Diacetyl reductase ((R)-acetoin forming)
EC:1.1.1.304	3799	3012	4542	7661	12104	4827	1692	Diacetyl reductase ((S)-acetoin forming)
EC:1.1.1.305	279	208	623	1920	663	204	446	UDP-glucuronic acid oxidase (UDP-4-keto-hexauronic acid decarboxylating)
EC:1.1.1.306	447	3155	616	961	836	1863	452	S-(hydroxymethyl)mycothiol dehydrogenase
EC:1.1.1.307	0	0	35	0	30	0	0	D-xylose reductase
EC:1.1.1.308	5996	982	2013	3330	1450	3860	192	Sulfopropanediol 3-dehydrogenase
EC:1.1.1.31	53408	28717	37600	45666	85602	44139	19269	3-hydroxyisobutyrate dehydrogenase
EC:1.1.1.310	231	244	377	763	289	307	470	(S)-sulfolactate dehydrogenase
EC:1.1.1.312	2664	527	1469	3129	10757	2704	1201	2-hydroxy-4-carboxymuconate semialdehyde hemiacetal dehydrogenase
EC:1.1.1.313	822	64	192	197	38	59	12	Sulfoacetaldehyde reductase
EC:1.1.1.316	26	12	19	0	126	420	0	L-galactose 1-dehydrogenase
EC:1.1.1.320	4236	544	1055	1812	911	266	88	Benzil reductase ((S)-benzoin forming)
EC:1.1.1.325	4	0	0	5	0	6	0	"Sepiapterin reductase (L-threo-7,8-dihydrobiopterin forming)"
EC:1.1.1.327	0	22	0	0	0	0	0	5-exo-hydroxycamphor dehydrogenase
EC:1.1.1.328	373	2987	620	1028	950	1755	440	Nicotine blue oxidoreductase
EC:1.1.1.333	144	429	167	197	268	625	158	Decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase
EC:1.1.1.335	841	868	582	740	1652	484	456	UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase
EC:1.1.1.336	4855	1584	4430	10241	2792	7703	1947	UDP-N-acetyl-D-mannosamine dehydrogenase
EC:1.1.1.337	0	45	2	61	21	0	0	L-2-hydroxycarboxylate dehydrogenase (NAD(+))
EC:1.1.1.338	345	353	1014	1358	699	1140	138	(2R)-3-sulfolactate dehydrogenase (NADP(+))
EC:1.1.1.339	368	195	153	123	260	108	70	dTDP-6-deoxy-L-talose 4-dehydrogenase (NAD(+))
EC:1.1.1.34	3575	170	428	595	841	255	946	Hydroxymethylglutaryl-CoA reductase (NADPH)
EC:1.1.1.343	19869	18848	15597	20959	18240	20568	9168	"Phosphogluconate dehydrogenase (NAD(+)-dependent, decarboxylating)"
EC:1.1.1.346	7601	6864	6758	10442	5984	9571	1402	"2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming)"
EC:1.1.1.35	80576	23075	38733	47616	84328	39754	32262	3-hydroxyacyl-CoA dehydrogenase
EC:1.1.1.350	308	207	152	206	160	125	257	Ureidoglycolate dehydrogenase (NAD(+))
EC:1.1.1.36	36285	7366	15175	22020	29281	20983	15906	Acetoacetyl-CoA reductase
EC:1.1.1.361	0	0	0	0	0	0	12	Glucose-6-phosphate 3-dehydrogenase
EC:1.1.1.362	0	0	0	0	0	46	0	Aklaviketone reductase
EC:1.1.1.363	52775	23448	25857	36038	51801	30705	20270	Glucose-6-phosphate dehydrogenase (NAD(P)(+))
EC:1.1.1.367	237	290	391	218	345	351	171	"UDP-2-acetamido-2,6-beta-L-arabino-hexul-4-ose reductase"
EC:1.1.1.368	0	0	3	0	32	3	11	6-hydroxycyclohex-1-ene-1-carbonyl-CoA dehydrogenase
EC:1.1.1.369	6230	6951	5465	9931	4863	11119	1337	D-chiro-inositol 1-dehydrogenase
EC:1.1.1.37	51490	20129	26781	35863	39487	28694	27145	Malate dehydrogenase
EC:1.1.1.370	0	0	0	0	0	2	12	Scyllo-inositol 2-dehydrogenase (NAD(+))
EC:1.1.1.371	284	147	142	599	133	79	57	Scyllo-inositol 2-dehydrogenase (NADP(+))
EC:1.1.1.373	0	4	274	745	76	18	88	Sulfolactaldehyde 3-reductase
EC:1.1.1.374	18	0	27	27	3975	0	1538	UDP-N-acetylglucosamine 3-dehydrogenase
EC:1.1.1.376	1727	145	501	1991	206	941	112	L-arabinose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.377	2815	414	624	1757	337	2560	2	L-rhamnose 1-dehydrogenase (NADP(+))
EC:1.1.1.378	2815	414	624	1757	337	2560	2	L-rhamnose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.38	6186	12254	6482	12354	11140	6841	5481	Malate dehydrogenase (oxaloacetate-decarboxylating)
EC:1.1.1.380	0	11	167	519	106	173	95	L-gulonate 5-dehydrogenase
EC:1.1.1.381	26219	1071	2773	4774	1800	1786	527	3-hydroxy acid dehydrogenase
EC:1.1.1.385	20	85	36	23	3099	33	0	Dihydroanticapsin 7-dehydrogenase
EC:1.1.1.387	132	79	49	107	214	157	12	L-serine 3-dehydrogenase (NAD(+))
EC:1.1.1.4	2893	2744	2306	3889	10473	3419	1270	"(R,R)-butanediol dehydrogenase"
EC:1.1.1.40	77270	17485	29676	37388	45520	32375	30009	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
EC:1.1.1.41	6087	2154	4050	4646	4713	3391	5818	Isocitrate dehydrogenase (NAD(+))
EC:1.1.1.42	62757	27208	34669	44716	62760	32854	31635	Isocitrate dehydrogenase (NADP(+))
EC:1.1.1.43	478	375	366	488	540	137	349	Phosphogluconate 2-dehydrogenase
EC:1.1.1.44	19869	18848	15597	20959	18240	20568	9168	"Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)"
EC:1.1.1.47	8221	2850	3770	5849	12551	7802	412	Glucose 1-dehydrogenase (NAD(P)(+))
EC:1.1.1.48	10144	2049	4669	7984	2187	10102	186	D-galactose 1-dehydrogenase
