	Phylum	Class
3ee4396cbbf93be75569c6dfdab8fd3f	p__Acidobacteria	c__Chloracidobacteria
2884de58f6d199d3f2df3bc74a80a63f	p__Proteobacteria	c__Betaproteobacteria
c4f6f6d1dec0d2e7ee6d04f6a05d14d9	p__Proteobacteria	c__Betaproteobacteria
2251ac1beed52df8356e3da7fa466b23	p__Actinobacteria	c__Actinobacteria
963178f685ad47cb061db123bcce1e96	p__Acidobacteria	c__Chloracidobacteria
9e7d8e102b5279320c5a6d110395cb98	p__Proteobacteria	c__Alphaproteobacteria
3e98dce21e8a87ff139fec4d7c8d6df8	p__Proteobacteria	c__Alphaproteobacteria
c74199573ca94a788c5433cc2300f59b	p__Proteobacteria	c__Gammaproteobacteria
6cedebfd00dba0e22d526b78f80ec51c	p__Proteobacteria	c__Alphaproteobacteria
906be3a0d39cc7f5dac94982b9ad5d63	p__Proteobacteria	c__Gammaproteobacteria
ddada2c383de72df440ff8afaf009f06	p__Acidobacteria	c__Chloracidobacteria
dedd18c276e67057806fba6b5a92c865	p__Proteobacteria	c__Alphaproteobacteria
14d6afcff531d3a61c74a52f80b1e70c	p__Actinobacteria	c__Actinobacteria
1b7dddb6793e5024c017b4f27b1ce940	p__Actinobacteria	c__Actinobacteria
958a6620ce497c75dfc2c47524f8c75a	p__Proteobacteria	c__Alphaproteobacteria
45b293503391fb0cc2d680cb21fb32b6	p__Bacteroidetes	c__Cytophagia
6324dda2655f1e9df5c3ba7977ae750a	p__Proteobacteria	c__Betaproteobacteria
aa6a7b317b7a11dd759077984668f3c2	p__Proteobacteria	c__Betaproteobacteria
952111709b81cb9e81a8d584dc3e7fb0	p__Firmicutes	c__Bacilli
8302f58cb984e832c23c0f699314d6e3	p__Actinobacteria	c__Actinobacteria
b7f080d0b3f056a9285ebacb3c81820e	p__Proteobacteria	c__Betaproteobacteria
b63ceecce81076603dde89cab6af7f47	p__Bacteroidetes	c__Cytophagia
87d56da30ee6ac979e26a7d0cb5d823f	p__Proteobacteria	c__Alphaproteobacteria
59c120dac98054c4f8fdc450adcef725	p__Bacteroidetes	c__Cytophagia
230ebfcad90216ed51522890ea6144db	p__Acidobacteria	c__Chloracidobacteria
1581e718bda7e866a173c7bae18fd8b5	p__Proteobacteria	c__Alphaproteobacteria
c39fa80059becba5066ed1625d7fba59	p__Actinobacteria	c__Actinobacteria
9d3e506aa8603c560f8925e54a6da1fd	p__Firmicutes	c__Bacilli
f130920bfcd5e380dcaefd67b2fd3f94	p__Proteobacteria	c__Alphaproteobacteria
fe97445d9f23b726a2e7dd53616741ca	p__Proteobacteria	c__Gammaproteobacteria
a948688d180403e8b1da61af7614a760	p__Proteobacteria	c__Alphaproteobacteria
f0a9bfbafb9cfd1fb6b0331b0d3255fd	p__Bacteroidetes	c__Sphingobacteriia
1b38e6465257943fb9c3f43b5eb14957	p__Proteobacteria	c__Alphaproteobacteria
b7974c2c2d87b4a863cbcfae012a7a93	p__Bacteroidetes	c__Cytophagia
ebb8cd141910908de49434169e4b5436	p__Proteobacteria	c__Betaproteobacteria
5257bccd6dfeaa36b79821d9b2e193b7	p__Actinobacteria	c__Actinobacteria
42534d79fe9402a7b9efd1046d8840fa	p__Proteobacteria	c__Gammaproteobacteria
57ae910b663d23ba8e850ec30fbaf01b	p__Proteobacteria	c__Alphaproteobacteria
ae0787cfe3bd3e00e7c0bea6af9a9499	p__Proteobacteria	c__Alphaproteobacteria
1dc64261ccee5011e73aafdf19e05c41	p__Acidobacteria	c__Chloracidobacteria
3bee227c79374bb846e3c98f6215bae7	p__Proteobacteria	c__Betaproteobacteria
0dba8f5fd4d3ca2631ceb5f075207c61	p__Actinobacteria	c__Actinobacteria
2fdf80d3348706301e59e7d8f73dddc8	p__Crenarchaeota	c__Thaumarchaeota
b44a67bfd78c65ea3880ca343fde2d37	p__Proteobacteria	c__Gammaproteobacteria
e00c8622865ef3b4d3a08382ed64b0e5	p__Proteobacteria	c__Alphaproteobacteria
e09f7bf1a759aebd32df228d9d930337	p__Proteobacteria	c__Betaproteobacteria
c7e1740ff4eee830a261228821060a3a	p__Proteobacteria	c__Betaproteobacteria
17458909565221aeb13109fddae79817	p__Firmicutes	c__Clostridia
0940a1289ad776873fa08aa1026fde89	p__Proteobacteria	c__Gammaproteobacteria
9f008fbb556867133cc0f74770dcca93	p__Firmicutes	c__Bacilli
34a82c884768cce67b93718838591275	p__Proteobacteria	c__Betaproteobacteria
c8a2d84dd8897e00bba186b69eccfa99	p__Acidobacteria	c__Chloracidobacteria
cf84f40a3e0ebcc3d36b74879dc2cf4d	p__Proteobacteria	c__Alphaproteobacteria
2f4b8380f4e162de2625c1e2dc315a9c	p__Proteobacteria	c__Betaproteobacteria
1e8fbf5a1011f840f8f3b1b86b362f5c	p__Bacteroidetes	c__Cytophagia
10aa05061805a10f374b0f9457ad4fc3	p__Proteobacteria	c__Betaproteobacteria
4b671989c95fdfcb3b48c7995c559507	p__Actinobacteria	c__Actinobacteria
c4f8cc058d4d90098647f59b2a74b61b	p__Proteobacteria	c__Betaproteobacteria
d6a35512c9e83be240526f2fbd8a3702	p__Proteobacteria	c__Alphaproteobacteria
5c60d19570a69f1c82b724a1165f89c6	p__Proteobacteria	c__Gammaproteobacteria
7d6a8d2e330bf9a53bbae68c5d93a7c1	p__Chloroflexi	c__Dehalococcoidetes
eeecf7f4f65546bbe25832d2d5d0bfc5	p__Bacteroidetes	c__Cytophagia
0c54fb0c9dcc2f9d6cd4fec526c3a58c	p__Actinobacteria	c__Actinobacteria
16be1fa2c0641efcb9ea23cee9576b94	p__Proteobacteria	c__Gammaproteobacteria
e6f2e8b109cd2cf3857c75e9b16c67fe	p__Proteobacteria	c__Alphaproteobacteria
5cb673b7342e2f6cbbbd8cc5e87e09cb	p__Acidobacteria	c__Chloracidobacteria
f4aa24e32848cd23d133e4a43b8bdadc	p__Proteobacteria	c__Alphaproteobacteria
9bcff30684dcc17b400cf5d1773f637f	p__Proteobacteria	c__Alphaproteobacteria
f662217bdbf3e04f934cf52b76e30b27	p__Proteobacteria	c__Betaproteobacteria
d1daa2e44cf50e0baad91ab81e959970	p__Proteobacteria	c__Alphaproteobacteria
13e9d080a0f739a3f522ae5703c3df3a	p__Acidobacteria	c__Chloracidobacteria
cebb5366b51afecfbb488f71fed9f611	p__Proteobacteria	c__Gammaproteobacteria
48304bcf6b7a217137d209fdc3059ffa	p__Bacteroidetes	c__Cytophagia
7deca11a7f045a5fc622368af17d2c1e	p__Proteobacteria	c__Gammaproteobacteria
735d0a1981a447d9fc8ec7fbeaebdde5	p__Bacteroidetes	c__Cytophagia
79859a64a3361be07b42615fe1caf06d	p__Bacteroidetes	c__Cytophagia
513d90222b8a9c52df49a9510760d96b	p__Nitrospirae	c__Nitrospira
5f2a637eb9458666e8430281d5917781	p__Proteobacteria	c__Betaproteobacteria
11a35270c84d0f2a479c3aa96662e86b	p__Bacteroidetes	c__Saprospirae
bb5fb408449747b64704676b6c6ad285	p__Proteobacteria	c__Alphaproteobacteria
d36173317ea8d89ba6eda45707c884ec	p__Proteobacteria	c__Alphaproteobacteria
91791367cebf6ad5c39cfb32383426ad	p__Proteobacteria	c__Alphaproteobacteria
d50d9c86e6188f21c3e69ad4aad4fc05	p__Proteobacteria	c__Gammaproteobacteria
3d6039da614521f66a413f3e235b2f4c	p__Bacteroidetes	c__Saprospirae
70ab03aaca5238d9ac23bdd3fb8389f2	p__Proteobacteria	c__Alphaproteobacteria
e379ad52a57d6f8206720775d6cdf17b	p__Proteobacteria	c__Betaproteobacteria
c54dc2eb477393146f643923a50f09d8	p__Firmicutes	c__Clostridia
de6ea6f3ddeabb72c536f525af6e7941	p__Proteobacteria	c__Alphaproteobacteria
f4451a3a66446f7453e5d45669a22b93	p__Firmicutes	c__Bacilli
48ffb5fc41d4d84539ac0d10c45766a1	p__Proteobacteria	c__Alphaproteobacteria
ea3f1362091fbd1c3f987cb2503c3c22	p__Proteobacteria	c__Gammaproteobacteria
f57aa778714a4efb259efeecbf53b9bc	p__Proteobacteria	c__Betaproteobacteria
70f15bbdb3cb574c1fa4fbc90ff740b9	p__Proteobacteria	c__Betaproteobacteria
2f8ec6227c3cd566ef420c4849cbc5fe	p__Proteobacteria	c__Betaproteobacteria
4c6ab49881b4a022636898af443635e6	p__Proteobacteria	c__Betaproteobacteria
c8471a932b09f35dd428dda1d539475c	p__Actinobacteria	c__Actinobacteria
dc277deecd2b7e1b85187a65e7ad95bb	p__Proteobacteria	c__Alphaproteobacteria
181e36c20361d9cb6dba3f3ed2fc2b6f	p__Bacteroidetes	c__Cytophagia
bb6bf661fbb608862938cb1abf1b29e1	p__Proteobacteria	c__Alphaproteobacteria
3007a9821883167ac3b11a1acfe48e8c	p__TM7	c__TM7_3
5f0bb46c061e87e27136f835fb8dbfea	p__Actinobacteria	c__Actinobacteria
9f3bd0bff462a03509ccfddc88c470fa	p__Bacteroidetes	c__Cytophagia
2465fb97b3f5914065e91f59cd91f5ab	p__Bacteroidetes	c__Saprospirae
1e1132881abb4553c390382b27ceb8f3	p__Proteobacteria	c__Betaproteobacteria
9cdd5cbc93a68525c01b31ad7a22b7a1	p__Bacteroidetes	c__Saprospirae
fc682d74e55c47a420eaed67c4481f2f	p__Proteobacteria	c__Gammaproteobacteria
4562600c89e49f72d195617bef14f49d	p__Proteobacteria	c__Gammaproteobacteria
da129e6dbe2cada5d953124c73ca4303	p__Proteobacteria	c__Alphaproteobacteria
b621ca8c517b3aa3b3090afc36c159b0	p__Firmicutes	c__Bacilli
dac38ee77486307b37351cde8342d0f6	p__Proteobacteria	c__Betaproteobacteria
63aed258c9ed64f19644fb39c0f41ee6	p__Proteobacteria	c__Alphaproteobacteria
d5f994cc071e0cd620c68bc1183eba0b	p__Proteobacteria	c__Gammaproteobacteria
62acc2b3601fbc883b1ab3241eb58530	p__Acidobacteria	c__Chloracidobacteria
c0f14accea2860e1535e16b51d305ee2	p__Proteobacteria	c__Betaproteobacteria
e6b5eca3af8e7cd99451b7f0c87385bf	p__Bacteroidetes	c__Saprospirae
a2a6e0588edc1fa03a537a9ba1b2e96d	p__Cyanobacteria	c__Synechococcophycideae
eaee6b9ea786817656377b72107f75f0	p__Firmicutes	c__Bacilli
2189c37c8ad044445ceaa0dfea49b8a2	p__Proteobacteria	c__Alphaproteobacteria
0888722472e9ef0381ff9bc8bb26b0bb	p__Bacteroidetes	c__Cytophagia
1fca04a5bdf2e2903c2d9ccf9a539d7f	p__Proteobacteria	c__Alphaproteobacteria
b19959574e4737f98dc0e84be1fa49f2	p__Proteobacteria	c__Alphaproteobacteria
0bc778e1792fd35c31bdc929e41c2935	p__Chloroflexi	c__Dehalococcoidetes
f8e27d110bb6ab6c00f13f40fa84c320	p__Proteobacteria	c__Betaproteobacteria
1c120dbcfc33f927183d73d0c0d61337	p__TM7	c__TM7_1
89ae57454ca97a1577f43832c28eb34f	p__Proteobacteria	c__Alphaproteobacteria
8d9b843d78578b1c3f2ac5cff5fac0fc	p__Proteobacteria	c__Alphaproteobacteria
39f7b8201f8fcd23d8ceac39b83d1e59	p__Proteobacteria	c__Gammaproteobacteria
e8ddbd29cc0da904b9d054b011668033	p__Actinobacteria	c__Actinobacteria
6b482b0afc817e45368850c59b9236c0	p__Proteobacteria	c__Gammaproteobacteria
8f54f775927614aa7722037c55f7bb22	p__Thermi	c__Deinococci
a4180a455289d7df1033143577fa2f90	p__Proteobacteria	c__Gammaproteobacteria
eb119f9af64b24a0580745a4475ec4ba	p__Proteobacteria	c__Alphaproteobacteria
e862eca9402a001a56fff08335b03e88	p__Proteobacteria	c__Alphaproteobacteria
a6ba078eaa6deda2d46e748cf4a1a3d3	p__Bacteroidetes	c__Sphingobacteriia
7732619aaa4217b9f9714d70c42fb4fb	p__Proteobacteria	c__Alphaproteobacteria
c188ac0cfb034f9834a729f36b2f1a26	p__Proteobacteria	c__Betaproteobacteria
b73f8d247c7f76f41e84b58af669fe33	p__Bacteroidetes	c__Saprospirae
b2d6ce4d304f35ada88f65aa7575e59b	p__Proteobacteria	c__Betaproteobacteria
a6a2995512292269c6307686bb2008d2	p__Proteobacteria	c__Alphaproteobacteria
8c76e29cb162e0e78cc890aed9640366	p__Thermi	c__Deinococci
98f1637cbe9aa15e7a65f8799a42607c	p__Firmicutes	c__Bacilli
00ac853383ab2eaec873b1e91a3fc155	p__Proteobacteria	c__Alphaproteobacteria
914331bfcf5797a456eeba5ccef121d6	p__Proteobacteria	c__Gammaproteobacteria
6a56ddcf82c6f095dfbfec5cef4656a0	p__Proteobacteria	c__Gammaproteobacteria
29fc049e71340a4fc7dd68d2824e6e03	p__Bacteroidetes	c__Flavobacteriia
025cad42c937adac00057dd51a7acdb5	p__Proteobacteria	c__Betaproteobacteria
ee820d7d150a1328b98b9f66f7cc6261	p__Proteobacteria	c__Alphaproteobacteria
cc1af266fd9aedaba23c43a28bad3654	p__Proteobacteria	c__Alphaproteobacteria
c007a77aa48b7e25fb82952d22682dd5	p__Proteobacteria	c__Alphaproteobacteria
fb83fb7a0de4a50d1ae8f87bd1670135	p__Proteobacteria	c__Gammaproteobacteria
9ca145d8353b770d3a38b24de7c1639c	p__Proteobacteria	c__Betaproteobacteria
1f4ded6b90284919ef826616b36c9463	p__Proteobacteria	c__Alphaproteobacteria
0f6646c23233556a47a845411bfd96b4	p__Proteobacteria	c__Betaproteobacteria
c1b814fbde6eeab8238dee3498742df2	p__Proteobacteria	c__Alphaproteobacteria
a6d5729bca1998e974b990250e964bb6	p__Bacteroidetes	c__Saprospirae
c8ccce065ccbcd5eb2508c2c8f1503b2	p__Actinobacteria	c__Actinobacteria
03df92768851d94a5096c2f5ac461b5b	p__Cyanobacteria	c__Synechococcophycideae
57b600f27f4b9b229d10f116db5d7477	p__Proteobacteria	c__Alphaproteobacteria
cbbadda285ce4df2e07d2b98e09e79f6	p__Crenarchaeota	c__Thaumarchaeota
4c1e71b1b14d444d7bcef591c213bc6a	p__Bacteroidetes	c__Saprospirae
1a1d5aea9ee60837d14dcdf556bb643b	p__Proteobacteria	c__Alphaproteobacteria
d79be54b10ddbd1bf577c3ec5ebc776f	p__Bacteroidetes	c__Saprospirae
8d7edb2d8cc3a4f8cfaddc23cc0b4c83	p__Proteobacteria	c__Betaproteobacteria
c5ca1e0f05cc18a9c69f9f46b87b0d48	p__Firmicutes	c__Clostridia
3658b5c786fa3dc4f8f3a8acbf7df911	p__Proteobacteria	c__Alphaproteobacteria
03dbf378ac7cf58f15c6b0f683b83795	p__Proteobacteria	c__Alphaproteobacteria
cc494c21ffc8d47eaf9444ba26300c2f	p__Bacteroidetes	c__Cytophagia
