Query	MGE_ID	Identity	E_value	MGE_type	MGE_class
Unigene4790	145_repUS23__repA(SAP099B)_GQ900449.1	32.0	5.6e-13	plasmid	repUS23
Unigene4976	2213_tnpA_AF535087.1	32.8	4.1e-11	transposase	tnpA
Unigene8503	2197_tnpA_AL954747.1	40.9	9.8e-06	transposase	tnpA
Unigene10190	1256_IS91_LGTC01000001.1	45.6	7.6e-06	IS91	IS91
Unigene13360	378_tnpA_HE983996.1	35.5	7.9e-08	transposase	tnpA
Unigene13779	90_rep19_9_repA(AP071A)_GQ900485.1	44.2	1.9e-09	plasmid	rep19
Unigene16055	9_rep3_1_rep63A(pAW63)_BTH011655	41.2	6.4e-12	plasmid	rep3
Unigene16480	2730_tnpA_AOCI01000042.1	28.1	1.5e-06	transposase	tnpA
Unigene16616	145_repUS23__repA(SAP099B)_GQ900449.1	32.7	3.5e-09	plasmid	repUS23
Unigene16955	2689_tnpA_KX470419.1	25.7	1.3e-11	transposase	tnpA
Unigene20792	2556_tnpA_EU646207.1	47.6	1.5e-06	transposase	tnpA
Unigene21604	90_rep19_9_repA(AP071A)_GQ900485.1	28.7	4.3e-08	plasmid	rep19
Unigene25431	1689_tnpA_AE014299.2	26.6	3.3e-09	transposase	tnpA
Unigene26470	2521_tniB_KU549175.1	26.5	5.4e-36	tniB	tniB
Unigene28582	76_rep16_5_unknown(pWBG759)_GQ900401.1	28.4	5.5e-08	plasmid	rep16
Unigene28715	2807_tniA_FN806773.1	27.2	1.4e-08	tniA	tniA	
Unigene31813	2212_tnpA_AJ245804.1	30.9	9.1e-10	transposase	tnpA
Unigene33064	21_rep5_6_rep(pRJ9)_AF447813.1	36.4	4.7e-08	plasmid	rep5
Unigene34183	2556_tnpA_EU646207.1	34.1	7.6e-11	transposase	tnpA
Unigene36238	114_rep21_12_rep(pKH3)_AF151117.1	27.4	7.1e-08	plasmid	rep21
Unigene38021	1888_IS91_AB616660.2	26.9	6.7e-06	IS91	IS91
Unigene38584	1428_IS91_CP002783.1	35.4	4.0e-08	IS91	IS91
Unigene39247	1271_tniB_CP002152.1	31.2	5.4e-17	tniB	tniB
Unigene44285	124_repUS2__repA(pBI143)_BFU30316	36.0	6.9e-08	plasmid	repUS2
Unigene44807	2797_tnpA_U66917.2	34.5	2.1e-08	transposase	tnpA
Unigene47498	1102_ISPvsp2_ALJQ01000002	27.8	1.2e-17	ISPvsp2	ISPvsp2
Unigene49840	403_tnpA_AP014631.1	27.4	2.7e-06	transposase	tnpA
Unigene51717	2556_tnpA_EU646207.1	55.6	7.4e-11	transposase	tnpA
Unigene56914	2055_tnpA_1_CP001621.1	26.5	9.9e-06	transposase	tnpA
Unigene59259	1793_intI1_KU736868.1	48.5	1.6e-07	integrase	intI1
Unigene60253	78_rep16_7_rep(pBORa53)_AY917098.1	38.7	3.0e-19	plasmid	rep16
Unigene61414	2416_tnpA_CT573073.1	34.6	1.4e-26	transposase	tnpA
Unigene67577	1294_IS91_CU928162.2	51.0	3.4e-06	IS91	IS91
Unigene67916	1106_tnpA_AF100324.1	31.2	1.4e-09	transposase	tnpA
Unigene69524	1558_tnpA_U13767.1	29.8	8.4e-07	transposase	tnpA
Unigene73115	2038_tnpA_CP005961.1	40.0	5.7e-06	transposase	tnpA
Unigene73718	2746_tnpA_AM420293.1	38.8	1.0e-14	transposase	tnpA
Unigene78026	1082_tnpA_CP015834.1	27.5	4.8e-09	transposase	tnpA
Unigene85015	77_rep16_6_unknown(SAP071A)_GQ900485.1	31.8	7.4e-08	plasmid	rep16
Unigene85336	143_repUS21__rep(pWBG764)_GQ900468.1	40.0	4.9e-06	plasmid	repUS21
